sigma,prevalence,n,info,anchor,lam,rel_mean,rel_median,rel_p90,share_worse,max_weight_p90
0.0,0.7,100,COR-500,PPS-A,0.5,1.001041988692863,1.0008604572634905,1.0021525992790614,1.0,66616.00828730155
0.0,0.7,100,COR-500,PPS-A,0.75,1.002388730400745,1.0019458488786608,1.0050393182542123,1.0,69592.90524582703
0.0,0.7,100,COR-500,PPS-A,1.0,1.0043563692922453,1.0034781919703448,1.009282612585768,1.0,72848.33939996388
0.0,0.7,100,MIS-G-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.7,100,MIS-G-2000,PPS-A,0.25,1.0000194624473757,1.00001174338615,1.0000492991376926,1.0,62116.78272235543
0.0,0.7,100,MIS-G-2000,PPS-A,0.5,1.0000779038176248,1.0000469867641022,1.0001973113144254,1.0,62886.065874757274
0.0,0.7,100,MIS-G-2000,PPS-A,0.75,1.0001754158021154,1.000105743048703,1.000444285156126,1.0,63674.64316094962
0.0,0.7,100,MIS-G-2000,PPS-A,1.0,1.0003121099299392,1.0001880282651407,1.000790524796596,1.0,64483.24969854149
0.0,0.7,400,COR-10000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.7,400,COR-10000,PPS-A,0.25,1.0000115477395752,1.000009753161869,1.0000204973135491,1.0,15476.641343201267
0.0,0.7,400,COR-10000,PPS-A,0.5,1.0000462184406513,1.0000391071737798,1.0000822801064642,1.0,15614.160383891613
0.0,0.7,400,COR-10000,PPS-A,0.75,1.0001040642786108,1.000087932331513,1.0001841529168105,1.0,15754.145238119014
0.0,0.7,400,COR-10000,PPS-A,1.0,1.000185147585671,1.000156017367321,1.000327091795291,1.0,15896.662827322409
0.0,0.7,400,COR-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.7,400,COR-2000,PPS-A,0.25,1.0000554411846436,1.0000478556257866,1.0001024633939368,1.0,15696.362972485173
0.0,0.7,400,COR-2000,PPS-A,0.5,1.0002222935128593,1.0001916926249814,1.0004120861463122,1.0,16068.005601140645
0.0,0.7,400,COR-2000,PPS-A,0.75,1.0005015579194336,1.0004318800771745,1.000937183797795,1.0,16457.67392919092
0.0,0.7,400,COR-2000,PPS-A,1.0,1.0008945273938006,1.0007647254849121,1.0016682882034953,1.0,16866.71200809267
0.0,0.7,400,COR-500,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.7,400,COR-500,PPS-A,0.25,1.0002595569128214,1.0002159368500152,1.000531633217579,1.0,15970.84106042484
0.0,0.7,400,COR-500,PPS-A,0.5,1.0010543254015167,1.0008671929379624,1.0021754157106384,1.0,16654.002071825387
