scenario_id,estimand,estimator,sampling_design,design_label,inference_method,anticipated_variance_rank,empirical_rmse_rank,interval_width_rank,coverage_lb90,coverage_lb90_ci,coverage_2s95,decision_metric_rank,weight_instability_rank,anticipated_variance,empirical_rmse,mean_width95,lb_shortfall,max_weight,rel_bias,material_undercoverage,notes
S7,rate,HT,DEF-0.5(COR-2000),DEF-0.5(COR-2000)/HT,Wald LB90/2s95; Poisson HT var est,11.0,11.0,11.0,0.9118,"[0.906,0.917]",0.9466,11.0,7.0,668926.0584957375,822.784960436129,3196.9574257592167,1053.4843383049697,93.83865276446846,-0.000594942789402,False,
S7,rate,DIFF,EQ-P,EQ-P/DIFF(COR-2000),Wald LB90/2s95; residual var est,4.0,4.0,3.0,0.8946,"[0.888,0.900]",0.9505,3.0,1.0,155367.55056388702,397.1439202781591,1548.7590122902348,507.73271784970376,50.0,-9.99192963463301e-05,False,
S7,rate,DIFF,RA-EST,RA-EST/DIFF(COR-2000),Wald LB90/2s95; residual var est,1.0,1.0,1.0,0.8937,"[0.888,0.900]",0.9511,1.0,13.0,142803.1150417943,378.50252454878694,1479.946493022364,485.2995716655389,4996.592412451133,-0.0001045020808766,False,
S7,rate,DIFF,DEF-0.5,DEF-0.5/DIFF(COR-2000),Wald LB90/2s95; residual var est,2.0,2.0,2.0,0.8959,"[0.890,0.902]",0.9498,2.0,8.0,146447.27974577178,385.21375275522945,1503.0595340828502,492.19848714181296,99.00916698373106,-5.734672416917652e-05,False,
S7,rate,HT,RA-EST(MIS-G-2000),RA-EST(MIS-G-2000)/HT,Wald LB90/2s95; Poisson HT var est,10.0,10.0,10.0,0.9119,"[0.906,0.917]",0.9451,12.0,10.0,666330.5200815046,819.2245201992715,3188.969832123399,1053.7652474395882,258.2777227763702,-0.0008023811104087,False,
S7,rate,HT,DEF-0.5(MIS-G-2000),DEF-0.5(MIS-G-2000)/HT,Wald LB90/2s95; Poisson HT var est,12.0,12.0,12.0,0.9103,"[0.905,0.916]",0.9468,10.0,6.0,671956.8237415489,824.80993640729,3204.0620441821247,1053.3798959675491,83.78085788066704,-0.0004208645793288,False,
S7,rate,EXP,SRSWOR,SRSWOR/EXP,Wald LB90/2s95; SRSWOR/stratified var est,6.0,6.0,6.0,0.9021,"[0.896,0.908]",0.9437,6.0,1.0,205802.5463055232,455.6839035998529,1783.0204663549669,586.7972088873358,50.0,-0.0002775586315714,False,
S7,rate,DIFF,SRSWOR,SRSWOR/DIFF(COR-2000),Wald LB90/2s95; residual var est,3.0,3.0,4.0,0.8987,"[0.893,0.904]",0.9514,4.0,1.0,155296.04147827593,392.0263997460707,1548.8774658545992,511.4547757366134,50.0,-0.0003640899608801,False,
S7,rate,EXP,ST-PROP,ST-PROP/EXP,Wald LB90/2s95; SRSWOR/stratified var est,5.0,5.0,5.0,0.8967,"[0.891,0.903]",0.9482,5.0,5.0,197275.84320214303,444.2046913739288,1744.1511995806388,573.7633134743132,50.346666666666664,-0.0002541582384436,False,
S7,rate,EXP,ST-EQD,ST-EQD/EXP,Wald LB90/2s95; SRSWOR/stratified var est,7.0,7.0,7.0,0.8903,"[0.884,0.896]",0.9449,7.0,9.0,503565.6881155948,719.9122394850466,2787.9058578959184,922.1849540437026,158.675,-0.0007694273111955,False,
S8,dollars,HT,EQ-P,EQ-P/HT,Wald LB90/2s95; Poisson HT var est,12.0,12.0,12.0,0.9499,"[0.945,0.954]",0.897,10.0,1.0,3315455171194.9453,1816964.5302136464,6744502.104995341,2194468.2488831216,200.0,0.001759273031902,False,
S8,dollars,HT,PPS-A,PPS-A/HT,Wald LB90/2s95; Poisson HT var est,6.0,6.0,8.0,0.9173,"[0.912,0.923]",0.9451,6.0,9.0,591519218170.3539,776236.97046989,3013159.2999961106,982248.746090626,61366.09412681075,0.0004763614011624,False,
S8,dollars,HT,RA-OR,RA-OR/HT,Wald LB90/2s95; Poisson HT var est,4.0,4.0,6.0,0.9165,"[0.911,0.922]",0.9432,4.0,12.0,520962467713.5431,727942.127403988,2822050.9238386764,923951.9502924732,148601.8677839305,-0.0002225773337675,False,
S8,dollars,HT,RA-EST(STRAT-2000),RA-EST(STRAT-2000)/HT,Wald LB90/2s95; Poisson HT var est,5.0,5.0,7.0,0.9128,"[0.907,0.918]",0.9425,5.0,11.0,536719576582.44525,741278.198560704,2864678.204184299,938685.280590579,146250.3218486648,-0.0003557719679682,False,
S8,dollars,HT,DEF-0.5(STRAT-2000),DEF-0.5(STRAT-2000)/HT,Wald LB90/2s95; Poisson HT var est,9.0,10.0,10.0,0.9176,"[0.912,0.923]",0.941,8.0,7.0,783448808734.942,889215.027237165,3461764.5438431497,1135233.2882188417,399.4537396773248,-0.0005798748293966,False,
S8,dollars,DIFF,EQ-P,EQ-P/DIFF(STRAT-2000),Wald LB90/2s95; residual var est,8.0,7.0,5.0,0.8725,"[0.866,0.879]",0.9277,,1.0,637411758768.507,779810.0069579274,2627301.4929185556,860847.4850578888,200.0,-0.0003170628042933,True,material undercoverage of 90% LB: not ranked on decision metric
S8,dollars,DIFF,RA-EST,RA-EST/DIFF(STRAT-2000),Wald LB90/2s95; residual var est,1.0,1.0,1.0,0.8928,"[0.887,0.899]",0.9474,1.0,10.0,170167084363.27545,413249.2482404498,1544868.9909683943,503162.8438748111,72214.65095477295,0.000318315098652,False,
S8,dollars,DIFF,DEF-0.5,DEF-0.5/DIFF(STRAT-2000),Wald LB90/2s95; residual var est,3.0,3.0,3.0,0.8834,"[0.877,0.890]",0.941,3.0,6.0,231813964825.10098,485190.41161946,1776062.7675488396,583118.7997935247,398.89525117427513,-0.0004121195037637,False,
S8,dollars,EXP,SRSWOR,SRSWOR/EXP,Wald LB90/2s95; SRSWOR/stratified var est,11.0,11.0,11.0,0.9487,"[0.944,0.953]",0.8888,9.0,1.0,2961179752098.333,1725598.5360333924,6321988.20170767,2099380.7595403744,200.0,-0.0054337624021792,False,
S8,dollars,DIFF,SRSWOR,SRSWOR/DIFF(STRAT-2000),Wald LB90/2s95; residual var est,7.0,8.0,4.0,0.873,"[0.866,0.879]",0.9311,,1.0,611495035970.2075,786518.3997497002,2584052.235370715,848833.777222677,200.0,-0.0006722991934146,True,material undercoverage of 90% LB: not ranked on decision metric
