dgp,sigma,prevalence,n,estimand,design,AV
MAIN,1.5,0.05,400,dollars,PPS-A/DIFF(fixed),14125596878.962166
MAIN,1.5,0.25,100,rate,SRSWOR/DIFF,544116.2570125265
MAIN,1.5,0.25,100,rate,ST-PROP/DIFF,546317.6983800121
MAIN,1.5,0.25,100,rate,ST-EQD/DIFF,1090641.6610703433
MAIN,1.5,0.25,100,rate,PPS-A/DIFF(fixed),1555936.808120162
MAIN,1.5,0.25,100,dollars,SRSWOR/DIFF,709067237216.9038
MAIN,1.5,0.25,100,dollars,ST-PROP/DIFF,769875761725.566
MAIN,1.5,0.25,100,dollars,ST-EQD/DIFF,200317309685.80283
MAIN,1.5,0.25,100,dollars,PPS-A/DIFF(fixed),174265862295.11856
MAIN,1.5,0.25,400,rate,SRSWOR/DIFF,133978.3748422804
MAIN,1.5,0.25,400,rate,ST-PROP/DIFF,133969.4679362516
MAIN,1.5,0.25,400,rate,ST-EQD/DIFF,270609.7258567346
MAIN,1.5,0.25,400,rate,PPS-A/DIFF(fixed),386933.3623572821
MAIN,1.5,0.25,400,dollars,SRSWOR/DIFF,174594445344.86575
MAIN,1.5,0.25,400,dollars,ST-PROP/DIFF,172833524644.5987
MAIN,1.5,0.25,400,dollars,ST-EQD/DIFF,47406963462.090515
MAIN,1.5,0.25,400,dollars,PPS-A/DIFF(fixed),40895845697.15777
MAIN,1.5,0.7,100,rate,SRSWOR/DIFF,628987.9741366712
MAIN,1.5,0.7,100,rate,ST-PROP/DIFF,627107.862728378
MAIN,1.5,0.7,100,rate,ST-EQD/DIFF,1561598.8254874593
MAIN,1.5,0.7,100,rate,PPS-A/DIFF(fixed),2983122.829291654
MAIN,1.5,0.7,100,dollars,SRSWOR/DIFF,322916934622.8924
MAIN,1.5,0.7,100,dollars,ST-PROP/DIFF,346022095569.0895
MAIN,1.5,0.7,100,dollars,ST-EQD/DIFF,137830146730.97266
MAIN,1.5,0.7,100,dollars,PPS-A/DIFF(fixed),121105879953.63547
MAIN,1.5,0.7,400,rate,SRSWOR/DIFF,154876.43584269795
MAIN,1.5,0.7,400,rate,ST-PROP/DIFF,154919.31654137044
MAIN,1.5,0.7,400,rate,ST-EQD/DIFF,388029.1486803948
MAIN,1.5,0.7,400,rate,PPS-A/DIFF(fixed),743409.8539667502
MAIN,1.5,0.7,400,dollars,SRSWOR/DIFF,79512210032.7725
MAIN,1.5,0.7,400,dollars,ST-PROP/DIFF,78837765288.28778
MAIN,1.5,0.7,400,dollars,ST-EQD/DIFF,33240513059.792564
MAIN,1.5,0.7,400,dollars,PPS-A/DIFF(fixed),29060049838.36831
STRATCAP,0.0,0.05,100,rate,SRSWOR/DIFF,189050.0
STRATCAP,0.0,0.05,100,rate,ST-PROP/DIFF,189170.27846874998
STRATCAP,0.0,0.05,100,rate,ST-EQD/DIFF,428398.73325000005
STRATCAP,0.0,0.05,100,rate,PPS-A/DIFF(fixed),789331.330263414
