dgp,sigma,prevalence,n0,estimand,design_estimator,n_equal_precision
MAIN,0.0,0.7,400,dollars,SRSWOR/DIFF-OR,149.75798931248806
MAIN,0.0,0.7,400,dollars,RA-OR/DIFF-OR,40.32817935222226
MAIN,0.75,0.05,100,rate,EQ-P/HT,105.23516904288961
MAIN,0.75,0.05,100,rate,SRSWOR/EXP,99.99999999999999
MAIN,0.75,0.05,100,rate,ST-PROP/EXP,99.51205459435812
MAIN,0.75,0.05,100,rate,ST-EQD/EXP,192.5570986199865
MAIN,0.75,0.05,100,rate,PPS-A/HT,293.4542243517348
MAIN,0.75,0.05,100,rate,RA-OR/HT,90.70331732953241
MAIN,0.75,0.05,100,rate,EQ-P/DIFF-OR,94.38478213343988
MAIN,0.75,0.05,100,rate,SRSWOR/DIFF-OR,94.38478213343988
MAIN,0.75,0.05,100,rate,RA-OR/DIFF-OR,84.23850202860072
MAIN,0.75,0.05,100,dollars,EQ-P/HT,101.50177822582472
MAIN,0.75,0.05,100,dollars,SRSWOR/EXP,99.99999999999999
MAIN,0.75,0.05,100,dollars,ST-PROP/EXP,93.38178535209126
MAIN,0.75,0.05,100,dollars,ST-EQD/EXP,22.62166220453146
MAIN,0.75,0.05,100,dollars,PPS-A/HT,20.7958584389611
MAIN,0.75,0.05,100,dollars,RA-OR/HT,18.159591725328927
MAIN,0.75,0.05,100,dollars,EQ-P/DIFF-OR,84.55041294251106
MAIN,0.75,0.05,100,dollars,SRSWOR/DIFF-OR,84.55041294251104
MAIN,0.75,0.05,100,dollars,RA-OR/DIFF-OR,16.323989425752583
MAIN,0.75,0.05,400,rate,EQ-P/HT,420.6087226012483
MAIN,0.75,0.05,400,rate,SRSWOR/EXP,399.9999997776643
MAIN,0.75,0.05,400,rate,ST-PROP/EXP,398.07749984267383
MAIN,0.75,0.05,400,rate,ST-EQD/EXP,770.2850563757202
MAIN,0.75,0.05,400,rate,PPS-A/HT,1165.5760878611582
MAIN,0.75,0.05,400,rate,RA-OR/HT,362.5271548479382
MAIN,0.75,0.05,400,rate,EQ-P/DIFF-OR,377.8589910873457
MAIN,0.75,0.05,400,rate,SRSWOR/DIFF-OR,377.8589910873457
MAIN,0.75,0.05,400,rate,RA-OR/DIFF-OR,337.2394865211863
MAIN,0.75,0.05,400,dollars,EQ-P/HT,405.91521404239865
MAIN,0.75,0.05,400,dollars,SRSWOR/EXP,399.9999997776644
MAIN,0.75,0.05,400,dollars,ST-PROP/EXP,373.90018934260803
MAIN,0.75,0.05,400,dollars,ST-EQD/EXP,90.57701945248452
MAIN,0.75,0.05,400,dollars,PPS-A/HT,83.16460523699392
MAIN,0.75,0.05,400,dollars,RA-OR/HT,72.6219258998183
MAIN,0.75,0.05,400,dollars,EQ-P/DIFF-OR,338.9911905866451
MAIN,0.75,0.05,400,dollars,SRSWOR/DIFF-OR,338.991190586645
MAIN,0.75,0.05,400,dollars,RA-OR/DIFF-OR,65.44839270193404
MAIN,0.75,0.25,100,rate,EQ-P/HT,133.11081253629004
MAIN,0.75,0.25,100,rate,SRSWOR/EXP,100.0
MAIN,0.75,0.25,100,rate,ST-PROP/EXP,98.4102408818944
MAIN,0.75,0.25,100,rate,ST-EQD/EXP,206.83685047650607
MAIN,0.75,0.25,100,rate,PPS-A/HT,405.03162484051035
MAIN,0.75,0.25,100,rate,RA-OR/HT,124.13179643802583
MAIN,0.75,0.25,100,rate,EQ-P/DIFF-OR,89.93604999415687
MAIN,0.75,0.25,100,rate,SRSWOR/DIFF-OR,89.93604999415687
MAIN,0.75,0.25,100,rate,RA-OR/DIFF-OR,87.45278195405201
MAIN,0.75,0.25,100,dollars,EQ-P/HT,107.83634726555273
MAIN,0.75,0.25,100,dollars,SRSWOR/EXP,100.00000000000001
MAIN,0.75,0.25,100,dollars,ST-PROP/EXP,53.843842933725206
MAIN,0.75,0.25,100,dollars,ST-EQD/EXP,19.819165365627086
MAIN,0.75,0.25,100,dollars,PPS-A/HT,24.113988298466907
MAIN,0.75,0.25,100,dollars,RA-OR/HT,22.873905675559033
MAIN,0.75,0.25,100,dollars,EQ-P/DIFF-OR,58.781828514529394
MAIN,0.75,0.25,100,dollars,SRSWOR/DIFF-OR,58.781828514529394
MAIN,0.75,0.25,100,dollars,RA-OR/DIFF-OR,14.329751944220703
MAIN,0.75,0.25,400,rate,EQ-P/HT,529.7987173895166
MAIN,0.75,0.25,400,rate,SRSWOR/EXP,399.9999997776644
MAIN,0.75,0.25,400,rate,ST-PROP/EXP,393.7353263476214
MAIN,0.75,0.25,400,rate,ST-EQD/EXP,827.5457339862414
MAIN,0.75,0.25,400,rate,PPS-A/HT,1585.9544841945408
MAIN,0.75,0.25,400,rate,RA-OR/HT,494.06104065413655
MAIN,0.75,0.25,400,rate,EQ-P/DIFF-OR,360.2908252444163
MAIN,0.75,0.25,400,rate,SRSWOR/DIFF-OR,360.2908252444163
MAIN,0.75,0.25,400,rate,RA-OR/DIFF-OR,350.34266032563625
MAIN,0.75,0.25,400,dollars,EQ-P/HT,430.83641652782404
MAIN,0.75,0.25,400,dollars,SRSWOR/EXP,399.9999997776643
MAIN,0.75,0.25,400,dollars,ST-PROP/EXP,290.8421681235425
MAIN,0.75,0.25,400,dollars,ST-EQD/EXP,79.60779672260662
MAIN,0.75,0.25,400,dollars,PPS-A/HT,96.34213834310248
MAIN,0.75,0.25,400,dollars,RA-OR/HT,91.38766115562522
MAIN,0.75,0.25,400,dollars,EQ-P/DIFF-OR,236.5974822350026
MAIN,0.75,0.25,400,dollars,SRSWOR/DIFF-OR,236.59748223500256
MAIN,0.75,0.25,400,dollars,RA-OR/DIFF-OR,57.67740332226197
MAIN,0.75,0.7,100,rate,EQ-P/HT,329.4878385996056
MAIN,0.75,0.7,100,rate,SRSWOR/EXP,100.0
MAIN,0.75,0.7,100,rate,ST-PROP/EXP,98.44706208665791
MAIN,0.75,0.7,100,rate,ST-EQD/EXP,236.99708197468155
MAIN,0.75,0.7,100,rate,PPS-A/HT,1185.32162566932
MAIN,0.75,0.7,100,rate,RA-OR/HT,326.0301991250472
MAIN,0.75,0.7,100,rate,EQ-P/DIFF-OR,91.07336319344763
MAIN,0.75,0.7,100,rate,SRSWOR/DIFF-OR,91.0733631934476
MAIN,0.75,0.7,100,rate,RA-OR/DIFF-OR,88.85828553315861
MAIN,0.75,0.7,100,dollars,EQ-P/HT,124.23629850790151
MAIN,0.75,0.7,100,dollars,SRSWOR/EXP,100.0
MAIN,0.75,0.7,100,dollars,ST-PROP/EXP,11.505333555600673
MAIN,0.75,0.7,100,dollars,ST-EQD/EXP,11.762793985884024
MAIN,0.75,0.7,100,dollars,PPS-A/HT,31.437520568349708
MAIN,0.75,0.7,100,dollars,RA-OR/HT,31.251403314578067
MAIN,0.75,0.7,100,dollars,EQ-P/DIFF-OR,20.586832805764914
MAIN,0.75,0.7,100,dollars,SRSWOR/DIFF-OR,20.58683280576491
MAIN,0.75,0.7,100,dollars,RA-OR/DIFF-OR,10.0
MAIN,0.75,0.7,400,rate,EQ-P/HT,1273.8800023593242
MAIN,0.75,0.7,400,rate,SRSWOR/EXP,399.99999977766436
MAIN,0.75,0.7,400,rate,ST-PROP/EXP,393.8804596438661
MAIN,0.75,0.7,400,rate,ST-EQD/EXP,948.2103145942468
MAIN,0.75,0.7,400,rate,PPS-A/HT,4111.7651360129985
MAIN,0.75,0.7,400,rate,RA-OR/HT,1260.5119284530094
MAIN,0.75,0.7,400,rate,EQ-P/DIFF-OR,364.7843515889695
MAIN,0.75,0.7,400,rate,SRSWOR/DIFF-OR,364.78435158896946
MAIN,0.75,0.7,400,rate,RA-OR/DIFF-OR,355.91210133534986
MAIN,0.75,0.7,400,dollars,EQ-P/HT,495.136108624914
MAIN,0.75,0.7,400,dollars,SRSWOR/EXP,399.9999997776643
MAIN,0.75,0.7,400,dollars,ST-PROP/EXP,148.68177966386008
MAIN,0.75,0.7,400,dollars,ST-EQD/EXP,47.503656137995954
MAIN,0.75,0.7,400,dollars,PPS-A/HT,125.29230006725513
MAIN,0.75,0.7,400,dollars,RA-OR/HT,124.55054120314288
MAIN,0.75,0.7,400,dollars,EQ-P/DIFF-OR,83.34512514904637
MAIN,0.75,0.7,400,dollars,SRSWOR/DIFF-OR,83.3451251490464
MAIN,0.75,0.7,400,dollars,RA-OR/DIFF-OR,25.648370787734773
MAIN,1.5,0.05,100,rate,EQ-P/HT,105.23420859113962
MAIN,1.5,0.05,100,rate,SRSWOR/EXP,100.0
MAIN,1.5,0.05,100,rate,ST-PROP/EXP,98.59769170225958
MAIN,1.5,0.05,100,rate,ST-EQD/EXP,170.8809040104239
MAIN,1.5,0.05,100,rate,PPS-A/HT,230.29026390600058
MAIN,1.5,0.05,100,rate,RA-OR/HT,62.99695097967548
MAIN,1.5,0.05,100,rate,EQ-P/DIFF-OR,76.09950756897561
MAIN,1.5,0.05,100,rate,SRSWOR/DIFF-OR,76.09950756897562
MAIN,1.5,0.05,100,rate,RA-OR/DIFF-OR,53.51936687489503
MAIN,1.5,0.05,100,dollars,EQ-P/HT,101.60665127221782
MAIN,1.5,0.05,100,dollars,SRSWOR/EXP,100.00000000000001
