dgp,sigma,prevalence,n,estimand,design,estimator,AV,min_pi,max_pi,max_weight,cv_weights,n_certainty,sd_size,AV_fixed_hajek,nh
MAIN,0.0,0.25,100,dollars,SRSWOR,EXP,894668081023.6625,,,,,,,,
MAIN,0.0,0.25,100,dollars,ST-PROP,EXP,815755225417.6707,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]"
MAIN,0.0,0.25,100,dollars,ST-EQD,EXP,229204344706.45334,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
MAIN,0.0,0.25,100,dollars,PPS-A,HT,254789826797.7887,1.629564361605836e-05,0.18870088778906777,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,191059050205.34747,
MAIN,0.0,0.25,100,dollars,RA-OR,HT,254789826797.78864,1.629564361605836e-05,0.1887008877890678,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,191059050205.3474,
MAIN,0.0,0.25,100,dollars,DEF-0.25-OR,HT,433115092921.6834,0.0037540739109040142,0.05092522194726695,266.377280717734,0.2762640542931927,0.0,9.970717309768313,368886701736.4323,
MAIN,0.0,0.25,100,dollars,DEF-0.5-OR,HT,324334972146.4542,0.0025081478218080292,0.0968504438945339,398.7005834764307,0.5175741825262512,0.0,9.95795233395169,260382123293.9618,
MAIN,0.0,0.25,100,dollars,DEF-0.75-OR,HT,274842301406.1979,0.0012622217327120438,0.14277566584180085,792.2538283755999,0.8337664922857715,0.0,9.93664093352584,211055510112.61682,
MAIN,0.0,0.25,100,dollars,EQ-P,DIFF-OR,719428001328.3811,0.005,0.005,200.0,0.0,0.0,9.974968671630002,719392029928.3147,
MAIN,0.0,0.25,100,dollars,SRSWOR,DIFF-OR,719428001328.381,,,,,,,,
MAIN,0.0,0.25,100,dollars,RA-OR,DIFF-OR,191092370098.3415,1.629564361605836e-05,0.18870088778906777,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,191059050205.34744,
MAIN,0.0,0.25,400,rate,EQ-P,HT,245000.00000000006,0.02,0.02,50.0,0.0,0.0,19.798989873223334,183740.81250000003,
MAIN,0.0,0.25,400,rate,SRSWOR,EXP,183750.00000000003,,,,,,,,
MAIN,0.0,0.25,400,rate,ST-PROP,EXP,183755.389112682,,,,,,,,"[np.int64(254), np.int64(75), np.int64(40), np.int64(22), np.int64(9)]"
MAIN,0.0,0.25,400,rate,ST-EQD,EXP,419949.4078124999,,,,,,,,"[np.int64(80), np.int64(80), np.int64(80), np.int64(80), np.int64(80)]"
MAIN,0.0,0.25,400,rate,PPS-A,HT,1034856.4659108829,6.518257446423344e-05,0.7548035511562711,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,970006.03300797,
MAIN,0.0,0.25,400,rate,RA-OR,HT,245000.00000000006,0.02,0.02,50.0,0.0,0.0,19.798989873223334,183740.81250000003,
MAIN,0.0,0.25,400,rate,DEF-0.25-OR,HT,245000.00000000006,0.02,0.02,50.0,0.0,0.0,19.798989873223334,183740.81250000003,
MAIN,0.0,0.25,400,rate,DEF-0.5-OR,HT,245000.00000000006,0.02,0.02,50.0,0.0,0.0,19.798989873223334,183740.81250000003,
MAIN,0.0,0.25,400,rate,DEF-0.75-OR,HT,245000.00000000006,0.02,0.02,50.0,0.0,0.0,19.798989873223334,183740.81250000003,
