dgp,sigma,prevalence,n,estimand,design,estimator,AV,min_pi,max_pi,max_weight,cv_weights,n_certainty,sd_size,AV_fixed_hajek,nh,de,AV_srs,AV_eqp,rel_SRSWOR,rel_EQP,relfix_SRSWOR
STRATCAP,0.75,0.7,400,dollars,RA-OR,DIFF-OR,26682358637.44439,9.676889326134856e-05,0.390067370627186,10333.89931720362,1.361431977367133,0.0,19.603972444756007,26679913694.965176,,RA-OR/DIFF-OR,704466166416.1653,882643939845.065,0.037875997328850726,0.030230036635302885,0.037872526697334596
STRATCAP,1.5,0.05,100,rate,EQ-P,HT,199000.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189043.4513276538,,EQ-P/HT,189052.90397285245,199000.00000000003,1.0526154098567877,1.0,0.99995
STRATCAP,1.5,0.05,100,rate,SRSWOR,EXP,189052.90397285245,,,,,,,,,SRSWOR/EXP,189052.90397285245,199000.00000000003,1.0,0.9500145928284042,
STRATCAP,1.5,0.05,100,rate,ST-PROP,EXP,136828.03322394754,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]",ST-PROP/EXP,189052.90397285245,199000.00000000003,0.7237552576478578,0.6875780564017463,
STRATCAP,1.5,0.05,100,rate,ST-EQD,EXP,89627.38735996443,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]",ST-EQD/EXP,189052.90397285245,199000.00000000003,0.4740862767854373,0.45038888120585135,
STRATCAP,1.5,0.05,100,rate,PPS-A,HT,144886.04353662935,1.629564361605836e-05,0.1887008877890677,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,135146.2651483443,,PPS-A/HT,189052.90397285245,199000.00000000003,0.7663783020092336,0.7280705705358258,0.7148595039182841
STRATCAP,1.5,0.05,100,rate,RA-OR,HT,94783.43904349004,0.0023343188684074,0.026705305107094,428.3904883492768,0.7878438075671192,0.0,9.947661945588882,85013.4243727095,,RA-OR/HT,189052.90397285245,199000.00000000003,0.50135933937889,0.4762986886607539,0.44968060572567153
STRATCAP,1.5,0.05,100,rate,DEF-0.25-OR,HT,133684.3651004069,0.0043335797171018,0.0104263262767735,230.75611048612785,0.2124288520815756,0.0,9.973264191651714,123784.69598886484,,DEF-0.25-OR/HT,189052.90397285245,199000.00000000003,0.7071267475457751,0.6717807291477732,0.6547622035292303
STRATCAP,1.5,0.05,100,rate,DEF-0.5-OR,HT,109417.33232964113,0.0036671594342037,0.015852652553547,272.69062552147705,0.3908721510660042,0.0,9.968149002995958,99567.66226629168,,DEF-0.5-OR/HT,189052.90397285245,199000.00000000003,0.578765678972872,0.5498358408524678,0.5266656061553509
STRATCAP,1.5,0.05,100,rate,DEF-0.75-OR,HT,98288.81452265129,0.0030007391513055,0.0212789788303205,333.2512256404928,0.5739093680239509,0.0,9.959617850517205,88482.34459956245,,DEF-0.75-OR/HT,189052.90397285245,199000.00000000003,0.5199011094628059,0.49391364081734307,0.46802954485305504
STRATCAP,1.5,0.05,100,rate,EQ-P,DIFF-OR,130973.44692445143,0.005,0.005,200.0,0.0,0.0,9.974968671630002,130966.8982521052,,EQ-P/DIFF-OR,189052.90397285245,199000.00000000003,0.692787278968531,0.6581580247459871,0.6927526396045824
STRATCAP,1.5,0.05,100,rate,SRSWOR,DIFF-OR,130973.44692445142,,,,,,,,,SRSWOR/DIFF-OR,189052.90397285245,199000.00000000003,0.6927872789685309,0.658158024745987,
STRATCAP,1.5,0.05,100,rate,RA-OR,DIFF-OR,76914.56128835009,0.0025871080351554,0.0168000882447792,386.5319833618421,0.6869173989269016,0.0,9.95748763202758,76908.08474829655,,RA-OR/DIFF-OR,189052.90397285245,199000.00000000003,0.406841469620561,0.3865053331072868,0.4068072118021544
STRATCAP,1.5,0.05,100,dollars,EQ-P,HT,1874772047442.12,0.005,0.005,200.0,0.0,0.0,9.974968671630002,1821833838535.8623,,EQ-P/HT,1821924934782.6016,1874772047442.12,1.0290061964961386,1.0,0.9999499999999999
STRATCAP,1.5,0.05,100,dollars,SRSWOR,EXP,1821924934782.6016,,,,,,,,,SRSWOR/EXP,1821924934782.6016,1874772047442.12,1.0,0.9718114462333586,
STRATCAP,1.5,0.05,100,dollars,ST-PROP,EXP,1018276337570.5385,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]",ST-PROP/EXP,1821924934782.6016,1874772047442.12,0.5589013675209636,0.5431467462723495,
STRATCAP,1.5,0.05,100,dollars,ST-EQD,EXP,147224310209.2683,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]",ST-EQD/EXP,1821924934782.6016,1874772047442.12,0.08080701207749573,0.0785291792728276,
STRATCAP,1.5,0.05,100,dollars,PPS-A,HT,225551695750.12103,1.629564361605836e-05,0.1887008877890677,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,175601907571.5961,,PPS-A/HT,1821924934782.6016,1874772047442.12,0.12379856680376057,0.12030886424717963,0.09638262489258348
STRATCAP,1.5,0.05,100,dollars,RA-OR,HT,145269351301.7428,3.050255003300747e-06,0.4040879846552951,327841.442409857,4.5172915158929285,0.0,9.690706374394525,97402807271.82346,,RA-OR/HT,1821924934782.6016,1874772047442.12,0.07973399371641886,0.07748640774751454,0.053461482090888614
STRATCAP,1.5,0.05,100,dollars,DEF-0.25-OR,HT,380566599565.63434,0.0037507625637508,0.1047719961638238,266.6124509358394,0.4111076947340345,0.0,9.957440026290426,329446850078.4296,,DEF-0.25-OR/HT,1821924934782.6016,1874772047442.12,0.2088816022549496,0.20299353197892372,0.18082350364107638
STRATCAP,1.5,0.05,100,dollars,DEF-0.5-OR,HT,232673662593.0689,0.0025015251275016,0.2045439923276475,399.75612837386547,0.7516832342407802,0.0,9.904667965594944,182995124138.419,,DEF-0.5-OR/HT,1821924934782.6016,1874772047442.12,0.12770760098347977,0.12410770840674817,0.10044053991733454
STRATCAP,1.5,0.05,100,dollars,DEF-0.75-OR,HT,172773544299.06995,0.0012522876912524,0.3043159884914713,798.5385522713634,1.264995976838678,0.0,9.81608409165977,124178012520.3648,,DEF-0.75-OR/HT,1821924934782.6016,1874772047442.12,0.0948302210484242,0.09215709426369821,0.06815758989279225
STRATCAP,1.5,0.05,100,dollars,EQ-P,DIFF-OR,714290682431.3801,0.005,0.005,200.0,0.0,0.0,9.974968671630002,714254967897.2585,,EQ-P/DIFF-OR,1821924934782.6016,1874772047442.12,0.39205275079931423,0.3810013507540481,0.39203314816177426
STRATCAP,1.5,0.05,100,dollars,SRSWOR,DIFF-OR,714290682431.3801,,,,,,,,,SRSWOR/DIFF-OR,1821924934782.6016,1874772047442.12,0.39205275079931423,0.3810013507540481,
STRATCAP,1.5,0.05,100,dollars,RA-OR,DIFF-OR,83766798503.66833,4.048410354684054e-06,0.3027055834630145,247010.533120238,3.890528875856847,0.0,9.792398854366503,83735676047.25636,,RA-OR/DIFF-OR,1821924934782.6016,1874772047442.12,0.04597708550141978,0.04468105795472954,0.04596000331772615
STRATCAP,1.5,0.05,400,rate,EQ-P,HT,49000.00000000001,0.02,0.02,50.0,0.0,0.0,19.798989873223334,46548.38751283938,,EQ-P/HT,46550.71504859181,49000.00000000001,1.0526154098567877,1.0,0.9999499999999999
STRATCAP,1.5,0.05,400,rate,SRSWOR,EXP,46550.71504859181,,,,,,,,,SRSWOR/EXP,46550.71504859181,49000.00000000001,1.0,0.9500145928284042,
STRATCAP,1.5,0.05,400,rate,ST-PROP,EXP,32037.18719234619,,,,,,,,"[np.int64(254), np.int64(75), np.int64(40), np.int64(22), np.int64(9)]",ST-PROP/EXP,46550.71504859181,49000.00000000001,0.6882211617781656,0.6538201467825753,
STRATCAP,1.5,0.05,400,rate,ST-EQD,EXP,21913.22832143162,,,,,,,,"[np.int64(80), np.int64(80), np.int64(80), np.int64(80), np.int64(80)]",ST-EQD/EXP,46550.71504859181,49000.00000000001,0.4707388124663084,0.44720874125370647,
STRATCAP,1.5,0.05,400,rate,PPS-A,HT,35471.51088415734,6.518257446423344e-05,0.7548035511562711,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,33236.11896584158,,PPS-A/HT,46550.71504859181,49000.00000000001,0.7619971217870771,0.723908385390966,0.7139765507607815
STRATCAP,1.5,0.05,400,rate,RA-OR,HT,22945.85976087251,0.0093372754736298,0.1068212204283763,107.0976220873192,0.7878438075671192,0.0,19.577937862284543,20679.3913310641,,RA-OR/HT,46550.71504859181,49000.00000000001,0.492921746463412,0.4682828522627042,0.4442335914599375
STRATCAP,1.5,0.05,400,rate,DEF-0.25-OR,HT,32671.091275101724,0.0173343188684074,0.041705305107094,57.68902762153195,0.2124288520815756,0.0,19.785246477709524,30276.13746965241,,DEF-0.25-OR/HT,46550.71504859181,49000.00000000001,0.7018386557757086,0.6667569647979943,0.6503903847244615
STRATCAP,1.5,0.05,400,rate,DEF-0.5-OR,HT,26604.33308241027,0.0146686377368149,0.0634106102141881,68.17265638036926,0.3908721510660042,0.0,19.743958892148974,24258.922370478933,,DEF-0.5-OR/HT,46550.71504859181,49000.00000000001,0.5715128769695466,0.5429455731104136,0.5211288880344016
