dgp,sigma,prevalence,n,estimand,best_conv,AV_best_conv,AV_srswor,AV_raor_fixed,AV_raor_diff_fixed,AV_raor_poisson,AV_eqp_poisson,AV_best_conv_diff_or,AV_best_conv_diff_family
MAIN,1.5,0.05,400,dollars,PPS-A/HT(fixed),18900203129.530933,126936787726.7886,11660568120.37382,10669284227.070517,13101830079.239,128986633152.4064,14125596878.962166,14125596878.962166
MAIN,1.5,0.05,400,rate,ST-PROP/EXP,45860.24242195983,46550.55841539144,26607.76761954213,24667.697396174328,28931.783613307467,48999.99999999999,35357.408159118255,35357.408159118255
MAIN,1.5,0.25,100,dollars,PPS-A/HT(fixed),239205097263.91345,1747331905111.3088,192423929835.07663,163905213488.70374,335763319619.18823,1895424879901.523,174265862295.11856,174265862295.11856
MAIN,1.5,0.25,100,rate,ST-PROP/EXP,715686.0049924352,746260.107192509,559616.8004507376,490218.95867921587,807629.9508139112,995000.0,544116.2570125265,544116.2570125265
MAIN,1.5,0.25,400,dollars,PPS-A/HT(fixed),55976580998.54202,430247554524.8951,45124747279.84166,38305823078.23813,76805794267.07599,466712658870.2242,40895845697.15777,40895845697.15777
MAIN,1.5,0.25,400,rate,ST-PROP/EXP,175533.81757991877,183752.4887056932,137664.14257174902,120504.17879018332,198157.4877034778,245000.0,133969.4679362516,133969.4679362516
MAIN,1.5,0.7,100,dollars,PPS-A/HT(fixed),152000613204.5464,2715238530183.306,139943553913.88513,104656344478.32132,820859406550.7684,3407957613077.3545,121105879953.63548,121105879953.63548
MAIN,1.5,0.7,100,rate,ST-PROP/EXP,798154.7481141214,835810.3411183495,740327.0352092613,577016.5810266432,2689713.9081299086,2786000.0,627107.862728378,627107.862728378
MAIN,1.5,0.7,400,dollars,PPS-A/HT(fixed),36488222619.212494,668576321502.4221,33705522879.59146,24947713936.41376,192370790281.87292,839145341913.5194,29060049838.36831,29060049838.36831
MAIN,1.5,0.7,400,rate,ST-PROP/EXP,197275.84320214303,205802.5463055232,182565.2131154524,141883.72852879352,661928.4770324772,686000.0,154876.43584269797,154876.43584269797
STRATCAP,0.0,0.05,100,dollars,PPS-A/HT(fixed),48401626052.021355,189264696857.6678,48401626052.02135,48401626052.02135,50957965359.55773,191847467020.9016,48401626052.021355,48401626052.021355
STRATCAP,0.0,0.05,100,rate,SRSWOR/EXP,189050.0,189050.0,189040.5475,189040.5475,199000.00000000003,199000.00000000003,189050.0,189050.0
STRATCAP,0.0,0.05,400,dollars,PPS-A/HT(fixed),11413962496.704485,46602865055.40563,11413962496.70448,11413962496.70448,12016448122.473972,47238823537.80994,11413962496.704485,11413962496.704485
STRATCAP,0.0,0.05,400,rate,SRSWOR/EXP,46550.0,46550.0,46547.67249999999,46547.6725,49000.00000000001,49000.00000000001,46550.0,46550.0
STRATCAP,0.0,0.25,100,dollars,PPS-A/HT(fixed),191059050205.34747,894668081023.6625,191059050205.3474,191059050205.34744,254789826797.78864,959237335104.5082,191059050205.34744,191059050205.34744
STRATCAP,0.0,0.25,100,rate,SRSWOR/EXP,746250.0000000001,746250.0000000001,746212.6875000003,746212.6875000001,995000.0000000002,995000.0000000002,746250.0000000001,746250.0000000001
STRATCAP,0.0,0.25,400,dollars,PPS-A/HT(fixed),45055115118.57033,220295155628.942,45055115118.57033,45055115118.570335,60082240612.36987,236194117689.04977,45055115118.57034,45055115118.57033
STRATCAP,0.0,0.25,400,rate,SRSWOR/EXP,183750.00000000003,183750.00000000003,183740.81250000003,183740.81250000003,245000.0000000001,245000.0000000001,183750.00000000003,183750.00000000003
STRATCAP,0.0,0.7,100,dollars,PPS-A/HT(fixed),213986136229.9892,2179641586298.7915,213986136229.9892,213986136229.989,713411515033.8083,2685864538292.623,213986136229.98904,213986136229.98904
STRATCAP,0.0,0.7,100,rate,SRSWOR/EXP,835799.9999999999,835799.9999999999,835758.2099999997,835758.2099999995,2786000.0000000005,2786000.0000000005,835799.9999999999,835799.9999999999
STRATCAP,0.0,0.7,400,dollars,PPS-A/HT(fixed),50461728932.79877,536695666978.0944,50461728932.79877,50461728932.79874,168230273714.63568,661343529529.3392,50461728932.79875,50461728932.79875
STRATCAP,0.0,0.7,400,rate,SRSWOR/EXP,205799.99999999997,205799.99999999997,205789.71000000025,205789.7099999999,686000.0000000002,686000.0000000002,205799.99999999997,205799.99999999997
STRATCAP,0.75,0.05,100,dollars,PPS-A/HT(fixed),116615212519.0027,919414257775.8064,93953210114.1101,91155362427.86237,111367457028.4621,937933588366.4471,104814517365.23878,104814517365.23878
STRATCAP,0.75,0.05,100,rate,ST-PROP/EXP,180234.242657379,189050.6499763968,154955.15065568467,152148.93821074307,164873.4313471331,199000.00000000003,176051.1220411676,176051.1220411676
