dgp,sigma,prevalence,n,estimand,estimator,info,design,rel_fixed_equal_mean,rel_fixed_equal_median,rel_fixed_equal_p90,share_worse_than_equal,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,rel_srswor_exp_mean,rel_srswor_exp_p90,rel_poisson_equal_mean,rel_poisson_equal_p90,max_weight_median,max_weight_p90,cv_weights_median,min_pi_median
MAIN,0.0,0.05,100,dollars,DIFF,KS-2000,DEF-0.25,0.4529165043671641,0.4526563972422939,0.465876184343817,0.0,1.7165027872293848,1.7111064365883553,1.7629516243881347,1.0,0.4389700108056001,0.45084860879051514,0.4531380423857754,0.4659508272173979,266.3829438556713,266.520125227128,0.277559099188495,0.0037539941016000297
MAIN,0.0,0.05,100,dollars,DIFF,KS-2000,DEF-0.5,0.340000214272915,0.3398158121025955,0.3487121798812131,0.0,1.2885711828376674,1.2850072558813272,1.3195998537544682,1.0,0.3295328794467294,0.3374679996859552,0.3402533467106143,0.34901895054883153,398.7259584129583,399.3412875276778,0.5199631683209686,0.00250798820320006
MAIN,0.0,0.05,100,dollars,DIFF,KS-2000,DEF-0.75,0.28883813678450126,0.2886000427353398,0.29491154537318764,0.0,1.094694964477926,1.0914190800399337,1.1182316430134671,1.0,0.27995192548527714,0.28597108030864393,0.28910389912581796,0.29520105620849996,792.4041377437406,796.0607002190958,0.8381683186124157,0.0012619823048000904
MAIN,0.0,0.05,100,dollars,DIFF,KS-2000,RA-EST,0.2690442267721723,0.26813048376627924,0.27211948610183084,0.0,1.0197367098788623,1.015079550739016,1.0360942706348713,1.0,0.2607824687992026,0.26496567122406356,0.2693131110505445,0.27240572572620075,62592.35621190942,121255.97734137745,1.8015515165497642,1.597640640012046e-05
MAIN,0.0,0.05,100,dollars,DIFF,KS-2000,SRSWOR,,,,0.0,3.7902990618713015,3.782277915341344,3.8118020891830975,1.0,0.9693125071073687,0.9748115859330129,0.9996805717309327,0.9999954814283696,,,,
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-10000,DEF-0.0,0.99995,0.99995,0.9999500000000002,0.0,3.7677626196863914,3.766697009675661,3.7710154239865283,1.0,0.9635491478264916,0.9643810040573134,1.0,1.0,200.0,200.0,0.0,0.005
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-10000,DEF-0.25,0.4514345318978242,0.45138646975521435,0.4566678944678599,0.0,1.7009784805673964,1.6997810219062792,1.7208334549677191,1.0,0.43499990069924716,0.44007751454986177,0.4515123387513473,0.45672524539826703,266.37784312888,266.4151013313193,0.2763431623967558,0.0037540659848239186
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-10000,DEF-0.5,0.3380680453313185,0.33803164943726627,0.34147939111497205,0.0,1.2738206585635914,1.2729873762455988,1.2867521212640352,1.0,0.3257606526562149,0.32906768155449506,0.3381504401482942,0.3415490789786058,398.70310338908723,398.87008784172076,0.5176965188810088,0.002508131969647838
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-10000,DEF-0.75,0.28650496519675384,0.2864676230771688,0.28852333913401906,0.0,1.079534705482677,1.0789311883792456,1.0871129487958733,1.0,0.2760749151451413,0.2780129379516471,0.2865888333545216,0.28860185522065723,792.2687535089387,793.2586129317258,0.8340123604021314,0.001262197954471757
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-10000,RA-EST,0.2656840149337483,0.2656485132862895,0.26594157817860264,0.0,1.0010841725459647,1.00069639246998,1.002614523918893,1.0,0.2560123603114733,0.2564037248718507,0.2657678907734492,0.2660392859333603,61485.76557370919,70601.9740353843,1.7787619338833165,1.626393929567567e-05
