dgp,sigma,prevalence,n,estimand,estimator,info,design,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,rel_fixed_equal_mean,rel_fixed_equal_p90,max_weight_median,max_weight_p90,cv_weights_median,lambda
MAIN,0.0,0.05,100,dollars,HT,MIS-G-2000,DEF-0.5,1.291782159194905,1.2903065610056683,1.32859614434765,1.0,0.3303540388044186,0.3397686669544736,398.6662841806492,399.0627885842082,0.517497820751368,0.5
MAIN,0.0,0.05,100,dollars,HT,MIS-G-2000,DEF-0.75,1.0869822611606719,1.0857960364457893,1.1088400013327027,1.0,0.2779795165362767,0.2835693078904693,792.0507155267089,794.4029595689541,0.8334411675766917,0.75
MAIN,0.0,0.05,100,dollars,HT,MIS-G-2000,RA-EST,1.004355871170815,1.0035017862466349,1.0093613846387515,1.0,0.25684904848430246,0.2581291339682616,59782.80507212237,85159.65083623,1.775343517642039,1.0
MAIN,0.0,0.05,100,dollars,HT,MIS-I-2000,DEF-0.0,3.910100735446701,3.910100735446701,3.910100735446701,1.0,0.9999499999999999,0.9999499999999999,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,dollars,HT,MIS-I-2000,DEF-0.25,1.7400063265557772,1.7391613890729263,1.7863749294057385,1.0,0.4449806907700234,0.4568387700260101,266.3935892598336,266.47910305074294,0.2779676423458337,0.25
MAIN,0.0,0.05,100,dollars,HT,MIS-I-2000,DEF-0.5,1.2926548451127489,1.291362286883421,1.3235137147614109,1.0,0.33057721522430905,0.33846891131935974,398.77366330632196,399.15714944734736,0.5205679587641845,0.5
MAIN,0.0,0.05,100,dollars,HT,MIS-I-2000,DEF-0.75,1.089878275322648,1.0885348576261737,1.1094821265321237,1.0,0.2787201290056731,0.28373352184213047,792.6868219440078,794.9641201918218,0.8390850251354648,0.75
MAIN,0.0,0.05,100,dollars,HT,MIS-I-2000,RA-EST,1.0106457801566406,1.00839152646589,1.0199966146259598,1.0,0.25845759898361786,0.2608489355655199,65034.95864288904,94720.74391960313,1.8028627374062105,1.0
MAIN,0.0,0.05,100,rate,DIFF,COR-10000,DEF-0.0,1.000464814144938,1.0004207846658795,1.000895144735146,1.0,0.99995,0.9999500000000002,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,rate,DIFF,COR-10000,DEF-0.25,1.0006049191718465,1.0005288029562769,1.0011593061714708,1.0,1.0000900038574496,1.0002204064038411,210.247029789757,219.94974642726166,0.01090890458709416,0.25
MAIN,0.0,0.05,100,rate,DIFF,COR-10000,DEF-0.5,1.0010313777309832,1.0008754854815258,1.0019109625239473,1.0,1.0005161533903928,1.0010152315174095,221.60078168283297,244.32040970048158,0.021929298790980715,0.5
MAIN,0.0,0.05,100,rate,DIFF,COR-10000,DEF-0.75,1.0017536962466727,1.0015012791788585,1.0032575493768818,1.0,1.0012379463735848,1.0023748875004026,234.25078725042914,274.76464197853136,0.033046713824536694,0.75
MAIN,0.0,0.05,100,rate,DIFF,COR-10000,RA-EST,1.0027878411170539,1.002383046364698,1.0052417087566006,1.0,1.0022713346102419,1.0044063165711283,248.43247589780802,313.8760945432379,0.04440516778387531,1.0
MAIN,0.0,0.05,100,rate,DIFF,COR-2000,DEF-0.0,1.0024960924175115,1.0019349314105792,1.0048576684715884,1.0,0.99995,0.9999500000000002,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,rate,DIFF,COR-2000,DEF-0.25,1.003105419548515,1.0024441192276914,1.0059131249903501,1.0,1.0005573179582432,1.0010549722075155,220.8165913563443,239.27849910722477,0.0233774813779024,0.25
MAIN,0.0,0.05,100,rate,DIFF,COR-2000,DEF-0.5,1.005109456091004,1.0040857465992825,1.0095179699879542,1.0,1.0025545053880802,1.0046107333767482,246.46992513194743,297.75629699592025,0.04660073757278727,0.5
MAIN,0.0,0.05,100,rate,DIFF,COR-2000,DEF-0.75,1.0086604176747531,1.0068777571299155,1.0158320120205622,1.0,1.0060932419297113,1.01108356053384,278.8673202546328,394.064988915024,0.06994728927626065,0.75
MAIN,0.0,0.05,100,rate,DIFF,COR-2000,RA-EST,1.014133240428703,1.010869675314774,1.026769356287495,1.0,1.011547015817622,1.021571336970647,321.0707139562684,582.4772056022738,0.09450564694638106,1.0
MAIN,0.0,0.05,100,rate,DIFF,COR-500,DEF-0.0,1.0129185315761513,1.0098921738086963,1.0246878881555166,0.98,0.99995,0.9999500000000002,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,rate,DIFF,COR-500,DEF-0.25,1.0156468735816429,1.0128594457720386,1.027598879036538,0.98,1.0026442706749605,1.0105959296049927,240.7972335271969,266.61197057745835,0.05058316532982933,0.25
MAIN,0.0,0.05,100,rate,DIFF,COR-500,DEF-0.5,1.0283178262194301,1.0206837483855165,1.0691674588167492,0.98,1.0151059309879766,1.0580709120762073,302.50731938047375,399.7539685263418,0.10082954974594824,0.5
MAIN,0.0,0.05,100,rate,DIFF,COR-500,DEF-0.75,1.064150990225781,1.0334801062558665,1.2541642957113999,0.98,1.0503445649852279,1.2445338904630718,406.7585182902739,798.525624881933,0.15274484650134024,0.75
