estimand,sigma,prevalence,info,oracle_gain_vs_bestconv,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,share_oracle_gain_recovered_median
rate,0.75,0.7,MIS-G-2000,0.0178616523574902,0.9886486257120036,0.9884931705683196,0.9893377989333274,0.0,0.6442197620566174
rate,0.75,0.7,MIS-I-2000,0.0178616523574902,0.9844690587693752,0.9842601248613476,0.9854075789704296,0.0,0.8812104739039969
dollars,1.5,0.05,COR-10000,0.3646166649712754,0.6372321741395675,0.6368970498593385,0.6387739816750296,0.0,0.9958484760132039
dollars,1.5,0.05,COR-2000,0.3646166649712754,0.6460340864500992,0.642874156351971,0.6565400340436147,0.0,0.979455625474945
dollars,1.5,0.05,COR-500,0.3646166649712754,1.1113614455495122,0.6736175019809216,0.7711369944075827,0.025,0.895138728902561
dollars,1.5,0.05,KS-2000,0.3646166649712754,0.6483068423285065,0.6455174884204526,0.6603377672749882,0.0,0.9722060060186049
dollars,1.5,0.05,MIS-G-10000,0.3646166649712754,0.7340356371503186,0.7337923619672777,0.7352988618320508,0.0,0.7301027726028217
dollars,1.5,0.05,MIS-G-2000,0.3646166649712754,0.7368675987590061,0.735740431754126,0.7423570540568801,0.0,0.7247599839318714
dollars,1.5,0.05,MIS-I-2000,0.3646166649712754,0.6650202638497406,0.6632992889505831,0.679912920354682,0.0,0.923437526027348
rate,1.5,0.05,COR-10000,0.4218750779163346,0.5799024965139636,0.5795476400952807,0.5814289443998522,0.0,0.9966276320027194
rate,1.5,0.05,COR-2000,0.4218750779163346,0.588253682654432,0.5854115634124011,0.5986559138103772,0.0,0.9827279644848308
rate,1.5,0.05,COR-500,0.4218750779163346,0.8784447943939874,0.6137759868971244,0.7073374853982839,0.03,0.9154937879015236
rate,1.5,0.05,KS-2000,0.4218750779163346,0.590302212105217,0.5876697345290631,0.6015136797989662,0.0,0.9773752635672623
rate,1.5,0.05,MIS-G-10000,0.4218750779163346,0.7000082795743019,0.6995824176257233,0.7024134802866344,0.0,0.7121008044799815
rate,1.5,0.05,MIS-G-2000,0.4218750779163346,0.7031436255984995,0.701639259819576,0.7098611861756644,0.0,0.7072253275876
rate,1.5,0.05,MIS-I-2000,0.4218750779163346,0.6048985207528562,0.6030444269593476,0.61663644869657,0.0,0.9409315549077678
dollars,1.5,0.25,COR-10000,0.1955692749190184,0.8048721330275367,0.8048001652632193,0.8052576486099955,0.0,0.9981109497778182
dollars,1.5,0.25,COR-2000,0.1955692749190184,0.8066265723291017,0.8062802518024924,0.8084470926773802,0.0,0.9905428563751812
dollars,1.5,0.25,COR-500,0.1955692749190184,0.8211808509169924,0.8125986937094487,0.8262358530597333,0.01,0.9582349086693228
dollars,1.5,0.25,KS-2000,0.1955692749190184,0.8072364212473387,0.8068382321906256,0.8098975783602071,0.0,0.9876897477344493
dollars,1.5,0.25,MIS-G-10000,0.1955692749190184,0.8470151326552268,0.8469753867440677,0.8473314878795113,0.0,0.782457332928687
dollars,1.5,0.25,MIS-G-2000,0.1955692749190184,0.8476129989696433,0.8473298155756885,0.8487497941798257,0.0,0.7806450399099212
dollars,1.5,0.25,MIS-I-2000,0.1955692749190184,0.8141381870551686,0.8134056489253786,0.8171845492906745,0.0,0.9541087226093499
rate,1.5,0.25,COR-10000,0.2180693816184756,0.7824091590672461,0.7823584610395791,0.7827691031788634,0.0,0.9980380434204963
rate,1.5,0.25,COR-2000,0.2180693816184756,0.7843879171775651,0.7840093198541657,0.7863180031721853,0.0,0.9904677059327931
rate,1.5,0.25,COR-500,0.2180693816184756,0.7976644036497228,0.7910243252471132,0.8044973925433353,0.005,0.9582990202563203
rate,1.5,0.25,KS-2000,0.2180693816184756,0.785157677324571,0.7846752472880862,0.7882565678353146,0.0,0.9874139648299469
rate,1.5,0.25,MIS-G-10000,0.2180693816184756,0.8405515398086895,0.8404486549915645,0.8411285385111172,0.0,0.7316540443425449
rate,1.5,0.25,MIS-G-2000,0.2180693816184756,0.8412691358832819,0.8409654137884411,0.842772423106946,0.0,0.7292843453364701
rate,1.5,0.25,MIS-I-2000,0.2180693816184756,0.791937906827682,0.7915406341307799,0.7944041450775647,0.0,0.9559313844156775
dollars,1.5,0.7,COR-10000,0.0793224384854035,0.9210112364450168,0.920940457185336,0.9213153894098732,0.0,0.9966857338760722
dollars,1.5,0.7,COR-2000,0.0793224384854035,0.9224879821001432,0.9220010718252074,0.9240831848498088,0.0,0.9833148055470526
dollars,1.5,0.7,COR-500,0.0793224384854035,0.9411676166593244,0.925875699057634,0.9386753605544388,0.015,0.9344682583857524
dollars,1.5,0.7,KS-2000,0.0793224384854035,0.9225945818284162,0.9222115624028844,0.9241158028381072,0.0,0.9806611985514015
dollars,1.5,0.7,MIS-G-10000,0.0793224384854035,0.9350291318868604,0.9349919508734834,0.9351815367792108,0.0,0.8195417383503537
dollars,1.5,0.7,MIS-G-2000,0.0793224384854035,0.9354618089659482,0.93528781652717,0.936118736244198,0.0,0.8158118271255368
dollars,1.5,0.7,MIS-I-2000,0.0793224384854035,0.9255547561537446,0.9253564301709,0.9269770024570712,0.0,0.9410145635252445
