dgp,sigma,prevalence,info,estimand,fail_rate,n_pos_plan_mean,n_pos_plan_min,brier,logloss,calib_in_large,calib_slope,auc,score_pearson_HT,score_spearman_HT,score_pearson_DIFF,score_spearman_DIFF
MAIN,0.0,0.25,COR-10000,rate,0.0,2501.215,2354,0.18761422771392985,0.5626409533407635,0.0001190495590932876,,0.5005826300734981,,,,
MAIN,0.0,0.25,COR-2000,dollars,0.0,497.345,443,0.18809893011392614,0.5639608855392553,-0.0013524700355736787,,0.49989462749541647,0.9987066803153035,0.9993537998407868,0.9994167320473325,0.9997014350828384
MAIN,0.0,0.25,COR-2000,rate,0.0,497.345,443,0.18809893011392614,0.5639608855392553,-0.0013524700355736787,,0.49989462749541647,,,,
MAIN,0.0,0.25,COR-500,dollars,0.0,125.795,104,0.18977091631622614,0.5686665612495435,0.0018085493030626937,,0.49977521634111327,0.9951855017353128,0.9973621830811052,0.9977343560707442,0.9986690068032574
MAIN,0.0,0.25,COR-500,rate,0.0,125.795,104,0.18977091631622614,0.5686665612495435,0.0018085493030626937,,0.49977521634111327,,,,
MAIN,0.0,0.25,KS-2000,dollars,0.0,497.7,440,0.1881360548126642,0.5640684849338617,-0.001196100070603559,,0.500218911062901,0.998616564268813,0.9992849606822847,0.9993713354409368,0.9996688212030519
MAIN,0.0,0.25,KS-2000,rate,0.0,497.7,440,0.1881360548126642,0.5640684849338617,-0.001196100070603559,,0.500218911062901,,,,
MAIN,0.0,0.25,MIS-G-10000,dollars,0.0,2502.19,2353,0.18755027684051714,0.5624690339126469,0.00021817637132705945,,0.4999848635149013,0.9999298418151639,0.9999719320723046,0.9999686767662169,0.9999874334431285
MAIN,0.0,0.25,MIS-G-10000,rate,0.0,2502.19,2353,0.18755027684051714,0.5624690339126469,0.00021817637132705945,,0.4999848635149013,,,,
MAIN,0.0,0.25,MIS-G-2000,dollars,0.0,499.725,442,0.18776538186361028,0.5630472576016491,-0.000147999281873991,,0.4991472000661322,0.9996353993431525,0.9998436232548614,0.999835380551701,0.999929695561934
MAIN,0.0,0.25,MIS-G-2000,rate,0.0,499.725,442,0.18776538186361028,0.5630472576016491,-0.000147999281873991,,0.4991472000661322,,,,
MAIN,0.0,0.25,MIS-I-2000,dollars,0.0,499.12,439,0.18794709764506398,0.5635369103365254,-0.000406069942915092,,0.49981728551381516,0.9991826210922748,0.9995989826661648,0.9996231027673496,0.9998191177984351
MAIN,0.0,0.25,MIS-I-2000,rate,0.0,499.12,439,0.18794709764506398,0.5635369103365254,-0.000406069942915092,,0.49981728551381516,,,,
MAIN,0.0,0.7,COR-10000,dollars,0.0,6998.33,6862,0.21012910196503712,0.6111718509425955,-0.0001473599528670444,,0.49940740025661506,0.9999655712722858,0.9999829618387547,0.9999385305776866,0.9999698429031919
MAIN,0.0,0.7,COR-10000,rate,0.0,6998.33,6862,0.21012910196503712,0.6111718509425955,-0.0001473599528670444,,0.49940740025661506,,,,
MAIN,0.0,0.7,COR-2000,dollars,0.0,1404.79,1345,0.21060448323005074,0.6123388855126607,0.002373376934290838,,0.5000588391626581,0.9998297832488886,0.9999157395114392,0.9996711404687353,0.9998323250144356
MAIN,0.0,0.7,COR-2000,rate,0.0,1404.79,1345,0.21060448323005074,0.6123388855126607,0.002373376934290838,,0.5000588391626581,,,,
MAIN,0.0,0.7,COR-500,dollars,0.0,349.495,320,0.21264169271590622,0.6175020336395688,-0.0011318052071416567,,0.5000017898326619,0.9992061157880536,0.9995924879248085,0.9983691845909793,0.9990649849489998
MAIN,0.0,0.7,COR-500,rate,0.0,349.495,320,0.21264169271590622,0.6175020336395688,-0.0011318052071416567,,0.5000017898326619,,,,
MAIN,0.0,0.7,KS-2000,dollars,0.0,1400.3,1350,0.2107007808330378,0.6125481560249679,0.0001641776694328073,,0.49996691827613154,0.9998034042185302,0.9998976808202265,0.9996362469286896,0.9998127432292943
MAIN,0.0,0.7,KS-2000,rate,0.0,1400.3,1350,0.2107007808330378,0.6125481560249679,0.0001641776694328073,,0.49996691827613154,,,,
