dgp,sigma,prevalence,n,estimand,estimator_family,info,baseline,oracle_gain_vs_srswor,oracle_gain_vs_bestconv,raest_rel_bestconv_mean,raest_rel_bestconv_p90,raest_share_worse,def_reliable,region
MAIN,0.0,0.05,400,rate,HT,MIS-G-2000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.0044458620229892,1.0096336683406955,0.995,,A
MAIN,0.0,0.05,400,rate,HT,MIS-I-2000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.010696446283777,1.0206832204898413,1.0,,A
MAIN,0.0,0.05,400,rate,DIFF,COR-10000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0028233735631542,1.0053090046666049,1.0,,A
MAIN,0.0,0.05,400,rate,DIFF,COR-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0143117080116864,1.0271092437143494,1.0,,A
MAIN,0.0,0.05,400,rate,DIFF,COR-500,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,22.962373064027815,171.54831144049746,0.98,,A
MAIN,0.0,0.05,400,rate,DIFF,KS-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.019506143857932,1.03607639742103,1.0,,A
MAIN,0.0,0.05,400,rate,DIFF,MIS-G-10000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0010586748994859,1.0026252128417148,0.98,,A
MAIN,0.0,0.05,400,rate,DIFF,MIS-G-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.004662807048344,1.010190412106891,0.995,,A
MAIN,0.0,0.05,400,rate,DIFF,MIS-I-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0111594316437662,1.0215590497257523,1.0,,A
MAIN,0.0,0.25,100,dollars,HT,COR-10000,PPS-A/HT(fixed),0.7864470027960077,3.3306690738754696e-16,1.0005283003942713,1.0010372333571353,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,HT,COR-2000,PPS-A/HT(fixed),0.7864470027960077,3.3306690738754696e-16,1.0028027735424696,1.005908613512627,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,HT,COR-500,PPS-A/HT(fixed),0.7864470027960077,3.3306690738754696e-16,1.0118413373740727,1.0223796972808288,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,HT,KS-2000,PPS-A/HT(fixed),0.7864470027960077,3.3306690738754696e-16,1.0030523520563441,1.0055309463832454,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,HT,MIS-G-10000,PPS-A/HT(fixed),0.7864470027960077,3.3306690738754696e-16,1.0001882021084245,1.0004024810104173,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,HT,MIS-G-2000,PPS-A/HT(fixed),0.7864470027960077,3.3306690738754696e-16,1.000917987797018,1.0022687783567967,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,HT,MIS-I-2000,PPS-A/HT(fixed),0.7864470027960077,3.3306690738754696e-16,1.001869046438665,1.0035432240440156,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,DIFF,COR-10000,best conventional (EXP or DIFF),0.7864470027960075,0.0,1.0006954580094718,1.0013622324754914,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,DIFF,COR-2000,best conventional (EXP or DIFF),0.7864470027960075,0.0,1.0036668081691298,1.007571351709684,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,DIFF,COR-500,best conventional (EXP or DIFF),0.7864470027960075,0.0,1.0152284794341293,1.0283372834457005,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,DIFF,KS-2000,best conventional (EXP or DIFF),0.7864470027960075,0.0,1.0039791247797307,1.0075136960197066,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,DIFF,MIS-G-10000,best conventional (EXP or DIFF),0.7864470027960075,0.0,1.0002474848018403,1.0005420506229217,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,DIFF,MIS-G-2000,best conventional (EXP or DIFF),0.7864470027960075,0.0,1.001204566162242,1.0030552452128878,1.0,,A-conv
MAIN,0.0,0.25,100,dollars,DIFF,MIS-I-2000,best conventional (EXP or DIFF),0.7864470027960075,0.0,1.0024353575797207,1.004698399516832,1.0,,A-conv
MAIN,0.0,0.25,100,rate,HT,COR-10000,SRSWOR/EXP,4.9999999999661426e-05,4.9999999999661426e-05,1.0004681720150088,1.0009844178248932,0.995,,A
MAIN,0.0,0.25,100,rate,HT,COR-2000,SRSWOR/EXP,4.9999999999661426e-05,4.9999999999661426e-05,1.0027001452373852,1.0057399130474285,1.0,,A
MAIN,0.0,0.25,100,rate,HT,COR-500,SRSWOR/EXP,4.9999999999661426e-05,4.9999999999661426e-05,1.0116189083228624,1.0219445033869858,1.0,,A
MAIN,0.0,0.25,100,rate,HT,KS-2000,SRSWOR/EXP,4.9999999999661426e-05,4.9999999999661426e-05,1.0029574149140676,1.0054301423946046,1.0,,A
MAIN,0.0,0.25,100,rate,HT,MIS-G-10000,SRSWOR/EXP,4.9999999999661426e-05,4.9999999999661426e-05,1.0001414229340018,1.000371648909945,0.805,,A
MAIN,0.0,0.25,100,rate,HT,MIS-G-2000,SRSWOR/EXP,4.9999999999661426e-05,4.9999999999661426e-05,1.0008832154196998,1.002309609198628,0.955,,A
MAIN,0.0,0.25,100,rate,HT,MIS-I-2000,SRSWOR/EXP,4.9999999999661426e-05,4.9999999999661426e-05,1.0018012647526913,1.00340797478393,1.0,,A
MAIN,0.0,0.25,100,rate,DIFF,COR-10000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0006369528758068,1.001304136295295,0.995,,A
MAIN,0.0,0.25,100,rate,DIFF,COR-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0035659413087616,1.0072587666983406,1.0,,A
MAIN,0.0,0.25,100,rate,DIFF,COR-500,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0149182478099243,1.0271396824451908,1.0,,A
MAIN,0.0,0.25,100,rate,DIFF,KS-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0038928419283193,1.0072180893126306,1.0,,A
MAIN,0.0,0.25,100,rate,DIFF,MIS-G-10000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0002048844149265,1.000518811971403,0.855,,A
MAIN,0.0,0.25,100,rate,DIFF,MIS-G-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.00118633554716,1.0029718971934343,0.97,,A
MAIN,0.0,0.25,100,rate,DIFF,MIS-I-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.002399448052644,1.004719730329655,1.0,,A
MAIN,0.0,0.25,400,dollars,HT,COR-10000,PPS-A/HT(fixed),0.7954784117247694,0.0,1.0005508438933355,1.0010838944663079,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,HT,COR-2000,PPS-A/HT(fixed),0.7954784117247694,0.0,1.0029228350337709,1.0061801385961275,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,HT,COR-500,PPS-A/HT(fixed),0.7954784117247694,0.0,1.0123686575976019,1.0232931943063648,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,HT,KS-2000,PPS-A/HT(fixed),0.7954784117247694,0.0,1.0031843872234887,1.0057725940192477,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,HT,MIS-G-10000,PPS-A/HT(fixed),0.7954784117247694,0.0,1.0001953769306575,1.0004169386569957,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,HT,MIS-G-2000,PPS-A/HT(fixed),0.7954784117247694,0.0,1.0009541696199302,1.0023489696789327,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,HT,MIS-I-2000,PPS-A/HT(fixed),0.7954784117247694,0.0,1.0019476206121476,1.0037008304967756,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,DIFF,COR-10000,best conventional (EXP or DIFF),0.7954784117247693,-2.220446049250313e-16,1.0007003014563296,1.0013716247457969,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,DIFF,COR-2000,best conventional (EXP or DIFF),0.7954784117247693,-2.220446049250313e-16,1.003692927352479,1.0076839337536032,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,DIFF,COR-500,best conventional (EXP or DIFF),0.7954784117247693,-2.220446049250313e-16,1.0153858670731088,1.0291240316051364,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,DIFF,KS-2000,best conventional (EXP or DIFF),0.7954784117247693,-2.220446049250313e-16,1.0040134674742007,1.0075358761250521,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,DIFF,MIS-G-10000,best conventional (EXP or DIFF),0.7954784117247693,-2.220446049250313e-16,1.00024582036074,1.0005312523015644,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,DIFF,MIS-G-2000,best conventional (EXP or DIFF),0.7954784117247693,-2.220446049250313e-16,1.0012008760128768,1.0029916204017149,1.0,,A-conv
MAIN,0.0,0.25,400,dollars,DIFF,MIS-I-2000,best conventional (EXP or DIFF),0.7954784117247693,-2.220446049250313e-16,1.0024508362587226,1.0047011637092107,1.0,,A-conv
MAIN,0.0,0.25,400,rate,HT,COR-10000,SRSWOR/EXP,4.999999999999449e-05,4.999999999999449e-05,1.0004741405497146,1.0009960754939937,0.995,,A
MAIN,0.0,0.25,400,rate,HT,COR-2000,SRSWOR/EXP,4.999999999999449e-05,4.999999999999449e-05,1.0027319824870777,1.0058083861070117,1.0,,A
MAIN,0.0,0.25,400,rate,HT,COR-500,SRSWOR/EXP,4.999999999999449e-05,4.999999999999449e-05,1.011757878146535,1.0222114493177779,1.0,,A
MAIN,0.0,0.25,400,rate,HT,KS-2000,SRSWOR/EXP,4.999999999999449e-05,4.999999999999449e-05,1.0029922511028642,1.0054932902002671,1.0,,A
MAIN,0.0,0.25,400,rate,HT,MIS-G-10000,SRSWOR/EXP,4.999999999999449e-05,4.999999999999449e-05,1.0001436233777958,1.0003764967175734,0.805,,A
MAIN,0.0,0.25,400,rate,HT,MIS-G-2000,SRSWOR/EXP,4.999999999999449e-05,4.999999999999449e-05,1.0008939512649473,1.0023367620954087,0.955,,A
MAIN,0.0,0.25,400,rate,HT,MIS-I-2000,SRSWOR/EXP,4.999999999999449e-05,4.999999999999449e-05,1.001822589689996,1.0034478549429675,1.0,,A
MAIN,0.0,0.25,400,rate,DIFF,COR-10000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0006396456023943,1.001309886203088,0.995,,A
MAIN,0.0,0.25,400,rate,DIFF,COR-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0035807666380034,1.0072876283807886,1.0,,A
MAIN,0.0,0.25,400,rate,DIFF,COR-500,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0149925364786947,1.0272348850939947,1.0,,A
MAIN,0.0,0.25,400,rate,DIFF,KS-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0039091902706492,1.0072437838142538,1.0,,A
MAIN,0.0,0.25,400,rate,DIFF,MIS-G-10000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0002058603042956,1.0005209388423733,0.855,,A
MAIN,0.0,0.25,400,rate,DIFF,MIS-G-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.00119115150968,1.002983880783997,0.97,,A
MAIN,0.0,0.25,400,rate,DIFF,MIS-I-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0024090844266438,1.0047354365532954,1.0,,A
MAIN,0.0,0.7,100,dollars,HT,COR-10000,PPS-A/HT(fixed),0.9018250809788617,0.0,1.0001834168807349,1.0003233297203755,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,HT,COR-2000,PPS-A/HT(fixed),0.9018250809788617,0.0,1.0008848625976876,1.0016579458730708,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,HT,COR-500,PPS-A/HT(fixed),0.9018250809788617,0.0,1.0043563692922453,1.009282612585768,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,HT,KS-2000,PPS-A/HT(fixed),0.9018250809788617,0.0,1.001064869858745,1.0018159993354074,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,HT,MIS-G-10000,PPS-A/HT(fixed),0.9018250809788617,0.0,1.000066504013916,1.0001673048129047,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,HT,MIS-G-2000,PPS-A/HT(fixed),0.9018250809788617,0.0,1.0003121099299392,1.000790524796596,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,HT,MIS-I-2000,PPS-A/HT(fixed),0.9018250809788617,0.0,1.00071079328562,1.001373680273498,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,DIFF,COR-10000,best conventional (EXP or DIFF),0.9018250809788618,1.1102230246251565e-16,1.0006071266873315,1.0010696862501738,1.0,,A-conv
