dgp,sigma,prevalence,n,estimand,info,estimator,design,rule,rel_mean,rel_median,rel_p90,maxw_p90,n_changed
MAIN,0.0,0.05,400,rate,COR-500,DIFF,DEF-0.0,separation-aware,1.0115423112510264,1.0083713341129656,1.0232043799062873,50.0,21
MAIN,0.0,0.05,400,rate,COR-500,DIFF,DEF-0.25,archived,1.0156891082325439,1.012886250735217,1.027663976279012,66.65299264436459,21
MAIN,0.0,0.05,400,rate,COR-500,DIFF,DEF-0.25,separation-aware,1.013005990630777,1.0105892995757686,1.024136216070763,65.39131450215804,21
MAIN,0.0,0.05,400,rate,COR-500,DIFF,DEF-0.5,archived,1.0285542540013797,1.020753031881763,1.0697778041180441,99.93849213158545,21
MAIN,0.0,0.05,400,rate,COR-500,DIFF,DEF-0.5,separation-aware,1.0202400703218693,1.0168266921573434,1.0366428708011004,94.47263091053455,21
MAIN,0.0,0.05,400,rate,COR-500,DIFF,DEF-0.75,archived,1.0649359086381163,1.0338507555310477,1.257954104360205,199.63140622048326,21
MAIN,0.0,0.05,400,rate,COR-500,DIFF,DEF-0.75,separation-aware,1.0355402936901108,1.027389714479547,1.068331710657005,170.1399603480437,21
MAIN,0.0,0.05,400,rate,COR-500,DIFF,RA-EST,archived,22.962373064027815,1.0566304306985754,171.54831144049746,81240.88532239757,21
MAIN,0.0,0.05,400,rate,COR-500,DIFF,RA-EST,separation-aware,1.1711425037162528,1.0436923344479063,1.1469065618546974,855.6570391478122,21
MAIN,0.0,0.05,400,rate,COR-500,DIFF,SRSWOR,archived,1.012969180035153,1.0099426709422437,1.0247391251117723,,21
MAIN,0.0,0.05,400,rate,COR-500,DIFF,SRSWOR,separation-aware,1.0115928908955711,1.0084217552007257,1.0232555426834216,,21
MAIN,0.0,0.05,400,rate,COR-500,HT,DEF-0.0,archived,0.9999499999999999,0.9999499999999999,0.9999499999999999,50.0,21
MAIN,0.0,0.05,400,rate,COR-500,HT,DEF-0.0,separation-aware,0.9999499999999999,0.9999499999999999,0.9999499999999999,50.0,21
MAIN,0.0,0.05,400,rate,COR-500,HT,DEF-0.25,archived,1.0041620097367039,1.0030620519170084,1.0103733013164975,66.65339117590624,21
MAIN,0.0,0.05,400,rate,COR-500,HT,DEF-0.25,separation-aware,1.0028660219275418,1.0023886623388059,1.0053434080160994,65.42533149598977,21
MAIN,0.0,0.05,400,rate,COR-500,HT,DEF-0.5,archived,1.018871465907984,1.0123522077023357,1.0571824781046006,99.94028407436423,21
MAIN,0.0,0.05,400,rate,COR-500,HT,DEF-0.5,separation-aware,1.0119163018487292,1.0095969969754175,1.021642816877307,94.61477972542265,21
MAIN,0.0,0.05,400,rate,COR-500,HT,DEF-0.75,archived,1.0576958241009837,1.0281255671380531,1.2469007435647246,199.64213185544602,21
MAIN,0.0,0.05,400,rate,COR-500,HT,DEF-0.75,separation-aware,1.029587636752861,1.0224405977970985,1.0565400076201825,170.83339237327627,21
MAIN,0.0,0.05,400,rate,COR-500,HT,RA-EST,archived,23.608450184880553,1.0542992076046886,175.02926610913934,83679.89779042955,21
MAIN,0.0,0.05,400,rate,COR-500,HT,RA-EST,separation-aware,1.1728703281316548,1.0426127419399507,1.1445297119645172,879.6616767721988,21
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,DEF-0.0,archived,4.93985662944674,4.852583834237825,5.164349331810592,200.0,1
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,DEF-0.0,separation-aware,4.94019760540379,4.852583834237825,5.164349331810592,200.0,1
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,DEF-0.25,archived,1.7620820215627728,1.7345055792357875,1.8670711478456767,266.62912889722355,1
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,DEF-0.25,separation-aware,1.753857264305045,1.7345055792357875,1.8670711478456767,266.6286267630372,1
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,DEF-0.5,archived,1.2711544612082177,1.2399165321955068,1.3530142933924334,399.83112760630496,1
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,DEF-0.5,separation-aware,1.2545760537110917,1.2399165321955068,1.3530142933924334,399.8288692573125,1
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,DEF-0.75,archived,1.0771046873587569,1.0217299118825809,1.1182833379314656,798.9876209120547,1
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,DEF-0.75,separation-aware,1.039704190700697,1.0217299118825809,1.1182833379314656,798.9740933677122,1
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,RA-EST,archived,4.1458362460714815,0.9357922746578976,1.0215216393064943,473802.48862025235,1
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,RA-EST,separation-aware,0.9785720767996456,0.9357922746578976,1.015003341961034,467280.4500474566,1
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,SRSWOR,archived,4.940103634628471,4.852826475561603,5.164607562188701,,1
MAIN,0.75,0.05,100,dollars,COR-500,DIFF,SRSWOR,separation-aware,4.940444627635171,4.852826475561603,5.164607562188701,,1
MAIN,0.75,0.05,100,dollars,COR-500,HT,DEF-0.0,archived,5.286258891740582,5.286258891740582,5.286258891740582,200.0,1
MAIN,0.75,0.05,100,dollars,COR-500,HT,DEF-0.0,separation-aware,5.286258891740582,5.286258891740582,5.286258891740582,200.0,1
MAIN,0.75,0.05,100,dollars,COR-500,HT,DEF-0.25,archived,1.7569615354866377,1.7325648944776444,1.8932643790283936,266.6327564507709,1
MAIN,0.75,0.05,100,dollars,COR-500,HT,DEF-0.25,separation-aware,1.7494936337681362,1.7325648944776444,1.8932643790283936,266.631187797196,1
MAIN,0.75,0.05,100,dollars,COR-500,HT,DEF-0.5,archived,1.2444604794263123,1.2103455739730853,1.337772658486135,399.8474428528716,1
MAIN,0.75,0.05,100,dollars,COR-500,HT,DEF-0.5,separation-aware,1.2288060065292647,1.2103455739730853,1.337772658486135,399.84038756505123,1
MAIN,0.75,0.05,100,dollars,COR-500,HT,DEF-0.75,archived,1.0429655762805938,0.9857787527783908,1.0880233400129675,799.0853552453785,1
MAIN,0.75,0.05,100,dollars,COR-500,HT,DEF-0.75,separation-aware,1.0070779771793306,0.9857787527783908,1.0880233400129675,799.0430891751784,1
MAIN,0.75,0.05,100,dollars,COR-500,HT,RA-EST,archived,4.171087381932133,0.9047956886868284,1.0014017668064654,524557.1249265232,1
MAIN,0.75,0.05,100,dollars,COR-500,HT,RA-EST,separation-aware,0.9481652597314165,0.9047956886868284,1.000119068506684,501089.10387495626,1
MAIN,0.75,0.05,100,rate,COR-500,DIFF,DEF-0.0,archived,1.0013084561041985,0.9999500000000001,1.0021993919742855,200.0,1
MAIN,0.75,0.05,100,rate,COR-500,DIFF,DEF-0.0,separation-aware,1.0013084561041985,0.9999500000000001,1.0021993919742855,200.0,1
MAIN,0.75,0.05,100,rate,COR-500,DIFF,DEF-0.25,archived,0.9503177977397005,0.9513029608112766,0.9660227722529907,265.82456693828607,1
MAIN,0.75,0.05,100,rate,COR-500,DIFF,DEF-0.25,separation-aware,0.9501839156049751,0.9513029608112766,0.9660227722529907,265.70790568827897,1
MAIN,0.75,0.05,100,rate,COR-500,DIFF,DEF-0.5,archived,0.9264968580212333,0.9229475767723389,0.9516014109083779,396.23433422438325,1
