dgp,sigma,prevalence,info,rep,n_pos,degenerate,rank_deficient,separated,sm_warning,converged,max_abs_beta,fallback,strata_all_pos,strata_all_neg
MAIN,0.0,0.05,COR-10000,165,529,False,False,False,,True,2.884102249111545,False,,
MAIN,0.0,0.05,COR-10000,166,508,False,False,False,,True,2.8879417143440427,False,,
MAIN,0.0,0.05,COR-10000,167,518,False,False,False,,True,2.9533818694033656,False,,
MAIN,0.0,0.05,COR-10000,168,506,False,False,False,,True,2.962561010389286,False,,
MAIN,0.0,0.05,COR-10000,169,522,False,False,False,,True,2.9442517257486283,False,,
MAIN,0.0,0.05,COR-10000,170,502,False,False,False,,True,2.8851180221482737,False,,
MAIN,0.0,0.05,COR-10000,171,492,False,False,False,,True,3.0573972422663314,False,,
MAIN,0.0,0.05,COR-10000,172,521,False,False,False,,True,2.9145887469261798,False,,
MAIN,0.0,0.05,COR-10000,173,523,False,False,False,,True,2.9458527920973023,False,,
MAIN,0.0,0.05,COR-10000,174,476,False,False,False,,True,3.0282853040123574,False,,
MAIN,0.0,0.05,COR-10000,175,495,False,False,False,,True,2.992991650543257,False,,
MAIN,0.0,0.05,COR-10000,176,498,False,False,False,,True,2.9949887454499926,False,,
MAIN,0.0,0.05,COR-10000,177,495,False,False,False,,True,2.9612585991369764,False,,
MAIN,0.0,0.05,COR-10000,178,509,False,False,False,,True,2.8693372543939466,False,,
MAIN,0.0,0.05,COR-10000,179,491,False,False,False,,True,2.9469565799687847,False,,
MAIN,0.0,0.05,COR-10000,180,515,False,False,False,,True,2.9435732584551553,False,,
MAIN,0.0,0.05,COR-10000,181,495,False,False,False,,True,2.9871583828869044,False,,
MAIN,0.0,0.05,COR-10000,182,503,False,False,False,,True,2.9252512891813147,False,,
MAIN,0.0,0.05,COR-10000,183,482,False,False,False,,True,3.014077087332215,False,,
MAIN,0.0,0.05,COR-10000,184,478,False,False,False,,True,3.0157494414245303,False,,
MAIN,0.0,0.05,COR-10000,185,482,False,False,False,,True,2.9925255478463346,False,,
MAIN,0.0,0.05,COR-10000,186,521,False,False,False,,True,2.9107285406452346,False,,
MAIN,0.0,0.05,COR-10000,187,482,False,False,False,,True,2.9586872618308,False,,
MAIN,0.0,0.05,COR-10000,188,543,False,False,False,,True,2.9186124021452993,False,,
MAIN,0.0,0.05,COR-10000,189,484,False,False,False,,True,2.995476795123905,False,,
MAIN,0.0,0.05,COR-10000,190,465,False,False,False,,True,3.0044197664826284,False,,
MAIN,0.0,0.05,COR-10000,191,495,False,False,False,,True,2.86280835213045,False,,
MAIN,0.0,0.05,COR-10000,192,494,False,False,False,,True,2.9510200768353796,False,,
MAIN,0.0,0.05,COR-10000,193,494,False,False,False,,True,2.9308697223750406,False,,
MAIN,0.0,0.05,COR-10000,194,517,False,False,False,,True,2.9540099510619715,False,,
MAIN,0.0,0.05,COR-10000,195,497,False,False,False,,True,2.975902761900548,False,,
MAIN,0.0,0.05,COR-10000,196,510,False,False,False,,True,2.9904953594559216,False,,
MAIN,0.0,0.05,COR-10000,197,504,False,False,False,,True,2.9104952283003707,False,,
MAIN,0.0,0.05,COR-10000,198,481,False,False,False,,True,2.9961642907898343,False,,
MAIN,0.0,0.05,COR-10000,199,512,False,False,False,,True,2.922328160760095,False,,
MAIN,0.0,0.05,COR-2000,0,101,False,False,False,,True,3.068413718820592,False,,
MAIN,0.0,0.05,COR-2000,1,91,False,False,False,,True,2.9843461173061065,False,,
MAIN,0.0,0.05,COR-2000,2,79,False,False,False,,True,3.244738043582687,False,,
MAIN,0.0,0.05,COR-2000,3,115,False,False,False,,True,2.7606638787521374,False,,
MAIN,0.0,0.05,COR-2000,4,84,False,False,False,,True,3.183212017305738,False,,
MAIN,0.0,0.05,COR-2000,5,116,False,False,False,,True,2.636499629401623,False,,
MAIN,0.0,0.05,COR-2000,6,106,False,False,False,,True,2.8836672088179816,False,,
MAIN,0.0,0.05,COR-2000,7,110,False,False,False,,True,2.953252579533472,False,,
MAIN,0.0,0.05,COR-2000,8,99,False,False,False,,True,2.891117020034272,False,,
MAIN,0.0,0.05,COR-2000,9,108,False,False,False,,True,2.805919469894794,False,,
MAIN,0.0,0.05,COR-2000,10,117,False,False,False,,True,2.8570195074117506,False,,
MAIN,0.0,0.05,COR-2000,11,96,False,False,False,,True,2.9745769579506813,False,,
MAIN,0.0,0.05,COR-2000,12,96,False,False,False,,True,2.929595847702151,False,,
MAIN,0.0,0.05,COR-2000,13,98,False,False,False,,True,3.0251160708096165,False,,
MAIN,0.0,0.05,COR-2000,14,118,False,False,False,,True,2.9861281933609547,False,,
MAIN,0.0,0.05,COR-2000,15,119,False,False,False,,True,2.6709994885752666,False,,
