rule,estimand,n,design,R,mean,median,se,boot_lo,boot_hi,max,top1_share,top5_share,top10_share,mean_excl_top5,n_above_10,n_changed
archived,rate,100,DEF-0.75,200,1.0568526195097447,1.027724633045395,0.005426279624857531,1.0467298498096362,1.0678927573101136,1.3597460637744139,0.00643299755648605,0.030705861165623405,0.060539151312386796,1.05066774328467,0,21
archived,rate,100,RA-EST,200,23.267667177596856,1.053509165311135,4.598067088878841,14.709027070723499,32.49717604267003,244.15550428671776,0.05246669174505847,0.2547393210188898,0.49592841599693777,17.78510506572546,22,21
archived,rate,400,DEF-0.0,200,0.99995,0.9999499999999999,7.870162355242804e-18,0.99995,0.99995,0.9999499999999999,0.004999999999999999,0.024999999999999998,0.049999999999999996,0.99995,0,21
archived,rate,400,DEF-0.25,200,1.0041620097367039,1.0030620519170084,0.0002664296268492893,1.0036605474075917,1.0047077853191564,1.0244498530548418,0.00510101877546362,0.02533233742919194,0.05054295694304353,1.0038197321769005,0,21
archived,rate,400,DEF-0.5,200,1.018871465907984,1.0123522077023357,0.0013707154478105445,1.0162460754393787,1.0216616753357584,1.110287924459539,0.005448616246555141,0.02659186787543967,0.052763688180353104,1.0172079697482086,0,21
archived,rate,400,DEF-0.75,200,1.0576958241009837,1.0281255671380531,0.005507896966182563,1.0474664806246448,1.0687747628468283,1.365080881624052,0.0064530881682564,0.030786743731812442,0.06068914489674389,1.051418270582747,0,21
archived,rate,400,RA-EST,200,23.608450184880553,1.0542992076046886,4.668443841492084,15.023224196013484,33.04833469704204,247.87717314673685,0.05249755303833617,0.2548886810472104,0.4962183196851622,18.041972775064185,22,21
separation-aware,dollars,100,DEF-0.0,200,3.910100735446702,3.910100735446701,9.444194826291364e-17,3.910100735446702,3.910100735446702,3.910100735446701,0.004999999999999998,0.02499999999999999,0.049999999999999996,3.9101007354467017,0,21
separation-aware,dollars,100,DEF-0.25,200,1.768775264981399,1.7549913225067022,0.005417987033540162,1.7584245935464056,1.7794214486939524,2.020390248496891,0.0057112689455156365,0.027886720340200313,0.05511185563761018,1.763538383407384,0,21
separation-aware,dollars,100,DEF-0.5,200,1.3277378904900616,1.3124003275731462,0.0043941618253748645,1.3192094015566773,1.3364989393287727,1.557618619680152,0.0058656856554166826,0.028579072556117264,0.05610618320342699,1.3228639722894766,0,21
separation-aware,dollars,100,DEF-0.75,200,1.133324021284664,1.1137758253704177,0.0051355413706344446,1.1237988194912938,1.1438272099570195,1.603055788083268,0.007072363057592947,0.0319430689721671,0.06074708179094574,1.125253511697389,0,21
separation-aware,dollars,100,RA-EST,200,1.199839875033113,1.0431136745824479,0.09302257988526119,1.0652047806468625,1.4100228239490928,16.96430691183566,0.07069404536737656,0.13693120504388662,0.16630570581110182,1.0620967744462795,2,21
separation-aware,dollars,400,DEF-0.0,200,4.0827657288700285,4.0827657288700285,0.0,4.0827657288700285,4.0827657288700285,4.0827657288700285,0.004999999999999999,0.024999999999999998,0.049999999999999996,4.0827657288700285,0,21
separation-aware,dollars,400,DEF-0.25,200,1.8137680645858985,1.7990688034633404,0.005727746700586382,1.802587628297057,1.825031401455563,2.080162481085319,0.005734367369513261,0.027979857665321343,0.055276870439611984,1.808224710052184,0,21
separation-aware,dollars,400,DEF-0.5,200,1.3467986450588085,1.3305625224354858,0.004650182345898179,1.3377685594131918,1.356000339522098,1.5901456153583802,0.005903427439552205,0.028736462153849483,0.05637189365473859,1.3416373505294565,0,21
separation-aware,dollars,400,DEF-0.75,200,1.1410381757645647,1.120397569817741,0.005432482496984207,1.130918943653819,1.1522948589233353,1.6358289149961134,0.007168160319877155,0.03229328341614677,0.06129644155019728,1.132502878529186,0,21
separation-aware,dollars,400,RA-EST,200,1.2110876136617095,1.0455765215533823,0.09817760150510896,1.0684022008469445,1.4357305744598683,17.82117433451602,0.07357508298113093,0.14213405779216579,0.17173610719360208,1.0655905813232203,2,21
separation-aware,rate,100,DEF-0.0,200,0.99995,0.9999500000000001,7.870162355242804e-18,0.99995,0.99995,0.9999500000000001,0.005,0.025,0.05,0.99995,0,21
separation-aware,rate,100,DEF-0.25,200,1.0028242795425957,1.0023538252048683,0.0001751172292860632,1.0024937934393419,1.0031820932643165,1.0176882224206696,0.005074110405887128,0.02523974252152351,0.050368929693464605,1.0025776953154957,0,21
separation-aware,rate,100,DEF-0.5,200,1.0117447796674321,1.0094587386575853,0.0007444415166111486,1.010332110887551,1.013219881975329,1.077482530670672,0.005324873190968418,0.026012217725403394,0.05157691026204199,1.0106944145396746,0,21
separation-aware,rate,100,DEF-0.75,200,1.0291608180296403,1.0221157572621085,0.002094597437149786,1.025283405129329,1.0335517016934106,1.2373162992061097,0.006011287436957566,0.027958833496902778,0.05461036820531547,1.0260376226428853,0,21
separation-aware,rate,100,RA-EST,200,1.1702990400674769,1.0420077148596794,0.07382298410671996,1.0625930986566112,1.3394996265240509,13.66061429321875,0.05836377637475935,0.11712200948897208,0.14652578341997563,1.0597243741453939,1,21
separation-aware,rate,400,DEF-0.0,200,0.99995,0.9999499999999999,7.870162355242804e-18,0.99995,0.99995,0.9999499999999999,0.004999999999999999,0.024999999999999998,0.049999999999999996,0.99995,0,21
separation-aware,rate,400,DEF-0.25,200,1.0028660219275418,1.0023886623388059,0.00017765843241726275,1.0025254542845672,1.0032276602856285,1.0179453077941465,0.005075180959055835,0.025243206095710697,0.05037426540910058,1.002615864871425,0,21
separation-aware,rate,400,DEF-0.5,200,1.0119163018487294,1.0095969969754175,0.0007552844658894454,1.0105149170706131,1.0134521077822045,1.0786115018796378,0.0053295489948578705,0.026026781886172044,0.05159962150649339,1.0108506430496926,0,21
separation-aware,rate,400,DEF-0.75,200,1.0295876367528611,1.0224405977970985,0.0021254573821661736,1.0255683682328611,1.0339142217298949,1.2408192192042937,0.006025806715772249,0.02800123462173716,0.05467650809857349,1.0264183710487225,0,21
separation-aware,rate,400,RA-EST,200,1.1728703281316546,1.0426127419399507,0.07495179067079094,1.0639656628581753,1.3451135473083458,13.854167693863099,0.05906095227053936,0.11832489437154244,0.14778491162205504,1.0606057132758568,1,21
