scenario,estimand,design,cov_lb90,wilson_lo,wilson_hi,learned,n_fits,cluster_se,cluster_lo,cluster_hi,fit_cov_min,fit_cov_p10,fit_cov_p50,design_effect
S5,rate,DEF-0.5/DIFF(COR-2000),0.9135,0.9078304018288528,0.9188520198520342,True,200.0,0.0028845019949367283,0.907846376089924,0.9191536239100759,0.8,0.86,0.92,1.0529724977987813
S5,rate,RA-EST(MIS-G-2000)/HT,0.9224,0.9169924858585595,0.9274831004002232,True,200.0,0.0027475342988974834,0.917014832774161,0.927785167225839,0.8,0.878,0.92,1.0546424057951251
S5,rate,DEF-0.5(MIS-G-2000)/HT,0.9226,0.9171985966319105,0.927676836021881,True,200.0,0.0027757383915078247,0.9171595527526446,0.9280404472473553,0.8,0.88,0.92,1.0789533144576868
S5,rate,SRSWOR/EXP,0.9258,0.9204977884556843,0.9307751865182495,False,,,,,,,,
S5,rate,SRSWOR/DIFF(COR-2000),0.9141,0.9084474930204128,0.919434467845501,True,200.0,0.002692992954925129,0.9088217338083467,0.9193782661916533,0.8,0.86,0.92,0.923599229109541
S5,rate,ST-PROP/EXP,0.9082,0.9023827910074746,0.9137037012056768,False,,,,,,,,
S5,rate,ST-EQD/EXP,0.9305,0.9253485698370358,0.935320795419607,False,,,,,,,,
S5,rate,CPS-RA-OR/HT,0.9145,0.9088589315597084,0.919822722096223,False,,,,,,,,
S5,rate,CPS-RA-EST(COR-2000)/HT,0.9166,0.9110195764819595,0.9218604643215653,True,20.0,0.0024369955618386025,0.9118234886987963,0.9213765113012037,0.9,0.9054,0.915,0.7768972299909638
S5,dollars,EQ-P/HT,0.9567,0.9525323143049796,0.9605169286978282,False,,,,,,,,
S5,dollars,PPS-A/HT,0.9273,0.9220452322531294,0.9322265906833713,False,,,,,,,,
S5,dollars,RA-OR/HT,0.9217,0.9162711783543365,0.9268049455219152,False,,,,,,,,
S5,dollars,RA-EST(COR-2000)/HT,0.9191,0.9135931065444465,0.9242850141966896,True,200.0,0.0026038143647793234,0.9139965238450326,0.9242034761549675,0.8,0.88,0.92,0.9118192349762207
S5,dollars,DEF-0.5(COR-2000)/HT,0.9257,0.920394647453256,0.9306784043231733,True,200.0,0.0026002609068936896,0.9206034886224883,0.9307965113775116,0.82,0.88,0.92,0.9830481176617266
S5,dollars,EQ-P/DIFF(COR-2000),0.893,0.8867897471445916,0.898908419047884,True,200.0,0.003378174107636777,0.8863787787490319,0.8996212212509681,0.72,0.82,0.9,1.194342319966043
S5,dollars,RA-EST/DIFF(COR-2000),0.9061,0.9002259083744245,0.9116621966911335,True,200.0,0.0027825641621682167,0.9006461742421503,0.9115538257578497,0.76,0.86,0.91,0.9100152118404804
S5,dollars,DEF-0.5/DIFF(COR-2000),0.901,0.8949913340952089,0.9067006878976223,True,200.0,0.003010033472826787,0.8951003343932595,0.9068996656067405,0.74,0.858,0.9,1.0157402557806352
S5,dollars,RA-EST(MIS-G-2000)/HT,0.9222,0.9167863852995854,0.9272893545641885,True,200.0,0.0028098534449165742,0.9166926872479635,0.9277073127520366,0.78,0.86,0.92,1.1004305092925688
S5,dollars,DEF-0.5(MIS-G-2000)/HT,0.9275,0.9222516051952467,0.9324200641362628,True,200.0,0.0025458114185647114,0.9225102096196132,0.9324897903803868,0.82,0.88,0.94,0.9638302115653079
S5,dollars,SRSWOR/EXP,0.9558,0.9515933711641446,0.9596565630611235,False,,,,,,,,
S5,dollars,SRSWOR/DIFF(COR-2000),0.8832,0.8767571716179136,0.889348521219126,True,200.0,0.003277577239793758,0.8767759486100042,0.8896240513899958,0.74,0.82,0.88,1.0413673738954847
S5,dollars,ST-PROP/EXP,0.8823,0.875836548538533,0.8884698355209667,False,,,,,,,,
S5,dollars,ST-EQD/EXP,0.9094,0.9036156959651223,0.9148698746180823,False,,,,,,,,
S5,dollars,CPS-RA-OR/HT,0.908,0.9021773354352475,0.913509310382895,False,,,,,,,,
S5,dollars,CPS-RA-EST(COR-2000)/HT,0.9029,0.8969408931741754,0.9085496695712403,True,20.0,0.0022027494780745955,0.8985826110229739,0.9072173889770262,0.884,0.888,0.904,0.5534410021716163
S6,rate,EQ-P/HT,0.9224,0.9169924858585595,0.9274831004002232,False,,,,,,,,
S6,rate,PPS-A/HT,0.947,0.9424347789400533,0.9512219139048232,False,,,,,,,,
S6,rate,RA-OR/HT,0.9158,0.9101963551947828,0.9210843000287064,False,,,,,,,,
S6,rate,RA-EST(COR-2000)/HT,0.9158,0.9101963551947828,0.9210843000287064,True,200.0,0.0029691546603343045,0.9099804568657447,0.9216195431342552,0.78,0.86,0.92,1.143280798713028
S6,rate,DEF-0.5(COR-2000)/HT,0.916,0.9104021467376803,0.921278354880818,True,200.0,0.0027308032576809334,0.9106476256149454,0.9213523743850547,0.8,0.878,0.92,0.9691836182367438
S6,rate,EQ-P/DIFF(COR-2000),0.893,0.8867897471445916,0.898908419047884,True,200.0,0.003082614566048449,0.8869580754505451,0.899041924549455,0.72,0.84,0.9,0.9944964011694352
S6,rate,RA-EST/DIFF(COR-2000),0.8898,0.8835121429359003,0.8957884809364329,True,200.0,0.003232964630413939,0.8834633893243887,0.8961366106756113,0.76,0.84,0.9,1.0659280987619253
S6,rate,DEF-0.5/DIFF(COR-2000),0.8926,0.8863799552020445,0.8985185182004131,True,200.0,0.0031806892208447505,0.8863658491271442,0.8988341508728557,0.76,0.84,0.9,1.055313053990996
S6,rate,RA-EST(MIS-G-2000)/HT,0.9182,0.9126664653094795,0.9234123466541165,True,200.0,0.002988049901031653,0.912343422193978,0.924056577806022,0.76,0.86,0.92,1.1887351370273287
S6,rate,DEF-0.5(MIS-G-2000)/HT,0.9175,0.9119458775509496,0.9227334720301154,True,200.0,0.0029804640291648753,0.9116582905028369,0.9233417094971631,0.74,0.86,0.92,1.1735666193240157
S6,rate,SRSWOR/EXP,0.8966,0.890479083320153,0.9024163179824825,False,,,,,,,,
S6,rate,SRSWOR/DIFF(COR-2000),0.8909,0.884638632129783,0.8968611469150991,True,200.0,0.0031312896503472593,0.8847626722853194,0.8970373277146807,0.76,0.82,0.9,1.0087714340683989
S6,rate,ST-PROP/EXP,0.8871,0.8807479363668853,0.8931547611728279,False,,,,,,,,
S6,rate,ST-EQD/EXP,0.8797,0.8731776319580089,0.8859307489663752,False,,,,,,,,
S6,rate,CPS-RA-OR/HT,0.8868,0.8804408724251872,0.8928620555220127,False,,,,,,,,
S6,rate,CPS-RA-EST(COR-2000)/HT,0.8891,0.8827953867271283,0.8951057747626736,True,20.0,0.0032264531609803387,0.8827761518044785,0.8954238481955215,0.866,0.8714,0.887,1.0557681910329904
S6,dollars,EQ-P/HT,0.9453,0.9406696580481485,0.9495883404391526,False,,,,,,,,
S6,dollars,PPS-A/HT,0.9081,0.9022800622068817,0.9136065068087652,False,,,,,,,,
S6,dollars,RA-OR/HT,0.9151,0.909476156551318,0.9204050362896402,False,,,,,,,,
S6,dollars,RA-EST(COR-2000)/HT,0.9127,0.9070077367590588,0.9180752993417927,True,200.0,0.0028678691334916534,0.9070789764983563,0.9183210235016436,0.74,0.86,0.92,1.032229734496726
S6,dollars,DEF-0.5(COR-2000)/HT,0.9138,0.9081389374687758,0.9191432538046245,True,200.0,0.0027505686940528335,0.9084088853596564,0.9191911146403435,0.76,0.86,0.92,0.9604761205602147
