scenario,dgp,sigma,prevalence,n,estimand,design,R,true_total,bias,rel_bias,mc_se_bias,emp_var,rmse,mean_var_hat,cov_lb90,cov_lb90_lo,cov_lb90_hi,cov_2s95,mean_lb_shortfall,mean_width95,mean_size,sd_size,zero_error_freq,var_estimator
S7,MAIN,1.5,0.7,400,dollars,RA-EST(MIS-G-2000)/HT,10000,8324461.167922506,4832.737378939986,0.0005805465700966286,4426.37019841883,195927531334.5035,442641.2700279356,192697409732.19574,0.9031,0.8971461491885747,0.9087442599518499,0.9464,557514.4971506415,1720071.756949247,400.1821,19.311456174768384,0.0,
S7,MAIN,1.5,0.7,400,dollars,DEF-0.5(MIS-G-2000)/HT,10000,8324461.167922506,2777.548671606928,0.0003336610761438757,5027.089044639528,252716242627.34763,502691.44192009885,253937945922.83795,0.909,0.9032046948136743,0.9144811829795128,0.9484,642668.5143358409,1974249.139042923,400.1108,19.639677272297526,0.0,
S7,MAIN,1.5,0.7,400,dollars,SRSWOR/EXP,10000,8324461.167922506,-8978.309552773833,-0.001078545430348197,8108.629997475916,657498804359.6627,810872.1628725778,655481862183.8723,0.9291,0.9239029961572105,0.9339674443343702,0.9355,1026434.5406778347,3112130.0499579194,400.0,0.0,0.0,
S7,MAIN,1.5,0.7,400,dollars,SRSWOR/DIFF(COR-2000),10000,8324461.167922506,-1098.5845848936588,-0.00013197065404388535,2873.166512832095,82550858104.59743,287304.38546405296,82499909420.09908,0.8364,0.8290207802237861,0.8435208561811727,0.9323,353348.00814175507,1077438.009219795,400.0,0.0,0.0,
S7,MAIN,1.5,0.7,400,dollars,ST-PROP/EXP,10000,8324461.167922506,-9446.434707845561,-0.0011347803199859314,4437.29322482767,196895711631.0154,443807.680407338,196027025776.6748,0.9142,0.9085503493120821,0.919531534751336,0.9382,553516.3006669723,1664166.1108661965,400.0,0.0,0.0,
S7,MAIN,1.5,0.7,400,dollars,ST-EQD/EXP,10000,8324461.167922506,-1743.018754305318,-0.00020938517450497213,2543.413378027876,64689516115.31172,254334.59316042333,64976931730.37625,0.9056,0.8997124940009259,0.9111759950771098,0.947,328087.034234883,998200.2037355423,400.0,0.0,0.0,
S8,STRATCAP,1.5,0.25,100,rate,EQ-P/HT,10000,4985.0,-4.979999999999563,-0.0009989969909728312,9.897063966021173,979518.7514751476,989.6694397625906,991023.98,0.9333,0.928241482140045,0.9380257326467224,0.9469,1274.353306103905,3882.677887944271,99.8508,9.99152337534172,0.0,
S8,STRATCAP,1.5,0.25,100,rate,PPS-A/HT,10000,4985.0,-22.312626565977553,-0.004475953172713651,13.191241408014792,1740088.4988452406,1319.2468848929032,1739728.8508499295,0.9658,0.9620551676583639,0.9691870863173487,0.8783,1440.1623010752592,4336.8279080508355,99.8315,9.769775214916667,0.0,
S8,STRATCAP,1.5,0.25,100,rate,RA-OR/HT,10000,4985.0,-12.093172252354634,-0.002425912187032023,8.791078463275454,772830.6054746552,879.1470680319834,785985.9478835865,0.9283,0.9230772095568223,0.9331938453547228,0.9419,1139.8416898684043,3449.485042307441,99.8665,9.908384214895989,0.0,
S8,STRATCAP,1.5,0.25,100,rate,RA-EST(STRAT-2000)/HT,10000,4985.0,-7.73802424798032,-0.0015522616344995628,9.031552100320663,815689.333408066,903.1432009897364,832176.299816007,0.9284,0.9231804228580001,0.9332905552510495,0.9415,1167.413736357485,3547.141902970689,99.8693,9.93884387189979,0.0,
